global_step,grad_norm,loss,train/loss,validation/loss,validation/num_examples,test/loss,test/num_examples,score,total_duration,preemption_count
0,8.252315,0.66986835,,,,,,,,
1,,,0.6697299219037436,0.6751410337078652,89000000.0,0.671065803381536,89274637.0,180.7285108566284,180.93703961372373,0.0
100,0.13509178,0.13082613,,,,,,,,
200,0.056516945,0.1283456,,,,,,,,
300,0.09113796,0.12615712,,,,,,,,
400,0.047264233,0.12547131,,,,,,,,
458,,,0.1261874346982213,0.1269995168539326,89000000.0,0.1294851638545447,89274637.0,719.4435312747955,1936.8111045360563,0.0
500,0.008418121,0.12481035,,,,,,,,
600,0.04625623,0.12557499,,,,,,,,
700,0.04606495,0.12613314,,,,,,,,
800,,,0.1240995630260071,0.1260882696629213,89000000.0,0.12841211552616,89274637.0,1124.2369112968445,3523.6721312999725,0.0
800,,,,,,,,1124.2369112968445,,0.0
