global_step,grad_norm,loss,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,preemption_count
0,5.443048,1.1712502,,,,,,,,,,,
1,,,0.1869590963636125,1.1376170430864607,0.1830549266946134,1.134646920723129,3554.0,0.2060473244205529,1.1313989250994834,3581.0,47.37935924530029,47.51784086227417,0.0
100,0.29665673,0.25781673,,,,,,,,,,,
200,0.18935981,0.36452484,,,,,,,,,,,
300,0.11315019,0.32477918,,,,,,,,,,,
336,,,0.6983460698808942,0.306551592690604,0.678035257368458,0.328603251837718,3554.0,0.6963444901258378,0.3301397567020385,3581.0,126.91107201576231,289.336718082428,0.0
400,0.37335384,0.32076737,,,,,,,,,,,
500,0.36326236,0.20405388,,,,,,,,,,,
600,0.25361562,0.3236437,,,,,,,,,,,
613,,,0.7204161371503558,0.2866806302751813,0.7012174882175014,0.3071809080657358,3554.0,0.7186241458827841,0.3093799291726298,3581.0,206.76703333854675,380.13291025161743,0.0
700,0.68417203,0.3033338,,,,,,,,,,,
800,0.2773265,0.31407428,,,,,,,,,,,
850,,,0.7138806751796177,0.291689395904541,0.6957287206097004,0.3116245559580754,3554.0,0.7130280009730173,0.3138062648352415,3581.0,286.6375274658203,468.0108194351196,0.0
900,0.10301914,0.3135797,,,,,,,,,,,
1000,0.2767177,0.2562682,,,,,,,,,,,
1100,0.14988518,0.25650725,,,,,,,,,,,
1136,,,0.7261298043387276,0.2809927974428449,0.7060704185644696,0.3015038141992297,3554.0,0.723302428398143,0.3033138084464884,3581.0,366.3880572319031,554.6118078231812,0.0
1200,0.48528048,0.2530251,,,,,,,,,,,
1300,0.2271284,0.32338393,,,,,,,,,,,
1400,0.6472267,0.3196886,,,,,,,,,,,
1477,,,0.7321757589067731,0.2760016747883388,0.7129165228659609,0.2960274803148741,3554.0,0.7301089817570162,0.297689302045518,3581.0,446.0714156627655,643.0319485664368,0.0
1500,0.15899444,0.3274191,,,,,,,,,,,
1600,0.35040304,0.2525688,,,,,,,,,,,
1700,0.09470077,0.33938223,,,,,,,,,,,
1800,0.24676177,0.25307617,,,,,,,,,,,
1818,,,0.7344479560852051,0.2738993338176182,0.7149881460590181,0.2940633985254291,3554.0,0.7321814840913851,0.2957276890511554,3581.0,525.9043958187103,728.9868273735046,0.0
1900,0.20333771,0.27068797,,,,,,,,,,,
2000,0.19136848,0.29887584,,,,,,,,,,,
2100,0.19508786,0.35466066,,,,,,,,,,,
2157,,,0.732762268611363,0.2767561844417027,0.7136551959499859,0.2965805062297763,3554.0,0.7305990356002164,0.2984462675186749,3581.0,605.6137647628784,813.5090625286102,0.0
2200,0.16094814,0.28693673,,,,,,,,,,,
2300,0.1346457,0.28144345,,,,,,,,,,,
2400,0.12552053,0.2932843,,,,,,,,,,,
2496,,,0.7356818062918526,0.2737163986478533,0.715958457349993,0.2941348409142867,3554.0,0.7330272837545379,0.2957261550762706,3581.0,685.2490923404694,897.9747004508972,0.0
2500,0.27732065,0.37928534,,,,,,,,,,,
2600,0.07440007,0.31262165,,,,,,,,,,,
2700,0.20451045,0.28842598,,,,,,,,,,,
2714,,,0.7346575600760323,0.273105263710022,0.7143169997713844,0.29363440071926,3554.0,0.7315682350207693,0.2951889570716106,3581.0,735.1519742012024,952.5754182338716,0.0
2714,,,,,,,,,,,735.1519742012024,,0.0
