global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,preemption_count
0,0.6090543,6.938074,,,,,,,,,,,
1,,,0.001255580340512,6.911462306976318,0.0009800000116229,6.91173791885376,50000.0,0.0008000000379979,6.911153316497803,10000.0,47.801193714141846,47.88607144355774,0.0
100,0.6320098,6.8687,,,,,,,,,,,
200,0.6632875,6.760901,,,,,,,,,,,
300,0.738059,6.559403,,,,,,,,,,,
400,0.8823414,6.3967247,,,,,,,,,,,
500,0.955709,6.2485905,,,,,,,,,,,
600,1.4893491,6.1262717,,,,,,,,,,,
700,1.3682095,6.0184965,,,,,,,,,,,
800,3.0184622,5.8806114,,,,,,,,,,,
900,2.0494032,5.8528256,,,,,,,,,,,
1000,2.249065,5.7463965,,,,,,,,,,,
1100,4.2516685,5.6182528,,,,,,,,,,,
1200,2.288059,5.5138564,,,,,,,,,,,
1300,3.5937297,5.541645,,,,,,,,,,,
1400,3.7363498,5.362024,,,,,,,,,,,
1493,,,0.1278300285339355,4.688037872314453,0.1120800003409385,4.803345680236816,50000.0,0.0815000012516975,5.126199245452881,10000.0,548.9891681671143,602.3254895210266,0.0
1500,3.3221717,5.359825,,,,,,,,,,,
1600,5.5022006,5.2746315,,,,,,,,,,,
1700,2.952147,5.2746334,,,,,,,,,,,
1800,4.7459435,5.1048656,,,,,,,,,,,
1900,3.287121,5.0896263,,,,,,,,,,,
2000,5.0439186,5.0230565,,,,,,,,,,,
2100,3.3142016,4.8252134,,,,,,,,,,,
2200,7.894761,4.8996563,,,,,,,,,,,
2300,3.495019,4.755967,,,,,,,,,,,
2400,5.1203995,4.7227664,,,,,,,,,,,
2500,3.7881658,4.646622,,,,,,,,,,,
2600,6.036936,4.5174675,,,,,,,,,,,
2700,2.4560091,4.462772,,,,,,,,,,,
2800,3.1214283,4.490614,,,,,,,,,,,
2900,3.5187643,4.5024843,,,,,,,,,,,
2987,,,0.2635722160339355,3.591460466384888,0.2400599867105484,3.753721475601196,50000.0,0.1769000142812729,4.283113956451416,10000.0,1048.422747373581,1132.6992313861847,0.0
3000,3.2187881,4.544592,,,,,,,,,,,
3100,4.5686088,4.350041,,,,,,,,,,,
3200,2.6100166,4.291993,,,,,,,,,,,
3300,2.9874685,4.205705,,,,,,,,,,,
3400,3.1082585,4.120887,,,,,,,,,,,
3500,2.7978942,4.2185073,,,,,,,,,,,
3600,2.4968643,4.096565,,,,,,,,,,,
3700,2.0639784,4.0557394,,,,,,,,,,,
3800,1.951225,4.089514,,,,,,,,,,,
3900,2.6792436,3.944407,,,,,,,,,,,
4000,2.6964161,4.0248446,,,,,,,,,,,
4100,1.8659474,3.9067917,,,,,,,,,,,
4200,1.9328685,3.829589,,,,,,,,,,,
4300,2.936948,3.8587842,,,,,,,,,,,
4400,2.336988,3.8491714,,,,,,,,,,,
4485,,,0.3757971823215484,2.888429641723633,0.3510400056838989,3.0506608486175537,50000.0,0.2711000144481659,3.664693593978882,10000.0,1541.699997663498,1662.5566310882568,0.0
4500,2.1789923,3.8853278,,,,,,,,,,,
4600,2.1078312,3.8002787,,,,,,,,,,,
4700,2.6637068,3.862514,,,,,,,,,,,
4800,2.2684727,3.7318082,,,,,,,,,,,
4900,1.8666475,3.746817,,,,,,,,,,,
5000,1.7497472,3.7187092,,,,,,,,,,,
5100,2.3634996,3.5918865,,,,,,,,,,,
5200,1.7851428,3.6116168,,,,,,,,,,,
5300,1.6614394,3.655814,,,,,,,,,,,
5400,1.6063317,3.6236417,,,,,,,,,,,
5500,1.7974453,3.5145793,,,,,,,,,,,
5600,1.3938596,3.5842001,,,,,,,,,,,
5700,1.8584981,3.480705,,,,,,,,,,,
5800,2.0491192,3.5195806,,,,,,,,,,,
5900,1.2617787,3.5086646,,,,,,,,,,,
5984,,,0.4654217064380646,2.465484142303467,0.426179975271225,2.6499319076538086,50000.0,0.3277000188827514,3.2530672550201416,10000.0,2030.3487131595607,2192.77556848526,0.0
6000,2.1190336,3.4711232,,,,,,,,,,,
6100,1.6332588,3.5137012,,,,,,,,,,,
6200,1.6357003,3.5058303,,,,,,,,,,,
6300,1.3363174,3.367886,,,,,,,,,,,
6400,1.8395257,3.5135,,,,,,,,,,,
6500,1.4293178,3.3762736,,,,,,,,,,,
6600,1.4042073,3.3684292,,,,,,,,,,,
6700,1.1598386,3.380617,,,,,,,,,,,
