global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,preemption_count
0,0.29275575,6.9077535,,,,,,,,,,,
1,,,0.0008984374580904,6.907756328582764,0.0009999999310821,6.9077558517456055,50000.0,0.0010000000474974,6.907756805419922,10000.0,46.55777788162232,46.641414165496826,0.0
100,0.29389402,6.9053354,,,,,,,,,,,
200,0.29218677,6.89825,,,,,,,,,,,
300,0.31593734,6.8711925,,,,,,,,,,,
400,0.51511455,6.8145156,,,,,,,,,,,
500,0.6884403,6.764859,,,,,,,,,,,
600,0.9591319,6.679179,,,,,,,,,,,
700,0.7867225,6.657777,,,,,,,,,,,
800,0.893043,6.612214,,,,,,,,,,,
900,0.83266234,6.5450287,,,,,,,,,,,
1000,1.3154131,6.5446405,,,,,,,,,,,
1030,,,0.0326757803559303,6.112421035766602,0.032600000500679,6.134460926055908,50000.0,0.0274000018835067,6.2289137840271,10000.0,459.852942943573,516.4358065128326,0.0
1100,0.7264295,6.500599,,,,,,,,,,,
1200,0.832272,6.4765325,,,,,,,,,,,
1300,1.087385,6.4518795,,,,,,,,,,,
1400,0.84914947,6.4658237,,,,,,,,,,,
1500,0.76504236,6.431347,,,,,,,,,,,
1600,0.7370646,6.544429,,,,,,,,,,,
1700,0.8616959,6.4118824,,,,,,,,,,,
1800,0.80212665,6.69891,,,,,,,,,,,
1900,0.6969705,6.351318,,,,,,,,,,,
2000,0.671009,6.742899,,,,,,,,,,,
2089,,,0.0622265599668026,5.656254768371582,0.0586199983954429,5.687917232513428,50000.0,0.0472000017762184,5.853387355804443,10000.0,872.8969912528992,959.0625412464142,0.0
2100,0.8294971,6.267499,,,,,,,,,,,
2200,0.8050051,6.6395793,,,,,,,,,,,
2300,0.70904696,6.322195,,,,,,,,,,,
2400,0.8392805,6.2268257,,,,,,,,,,,
2500,0.62976664,6.3816657,,,,,,,,,,,
2600,0.69062215,6.217488,,,,,,,,,,,
2700,0.7697784,6.195017,,,,,,,,,,,
2800,0.63339865,6.2121496,,,,,,,,,,,
2900,0.7907913,6.2053566,,,,,,,,,,,
3000,0.6308155,6.350813,,,,,,,,,,,
3100,0.6053466,6.3675656,,,,,,,,,,,
3147,,,0.0908203125,5.2635908126831055,0.0857400000095367,5.315304279327393,50000.0,0.065700002014637,5.5355095863342285,10000.0,1286.197410106659,1402.4211926460266,0.0
3200,0.72426134,6.14231,,,,,,,,,,,
3300,0.6630712,6.123896,,,,,,,,,,,
3400,0.632049,6.1084385,,,,,,,,,,,
3500,0.7208469,6.076664,,,,,,,,,,,
3600,0.72392756,6.294551,,,,,,,,,,,
3700,0.75034165,6.1265144,,,,,,,,,,,
