global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,preemption_count
0,4.9600883,11.076262,,,,,,,,,,,,,,
1,,,0.000608007365372,11.094049453735352,0.0,0.0004835649742744,11.078652381896973,0.0,3000.0,0.0007088489946909,11.107203483581545,0.0,3003.0,30.79732632637024,31.01502156257629,0.0
100,0.16828395,9.009958,,,,,,,,,,,,,,
200,0.13157037,8.9060545,,,,,,,,,,,,,,
300,0.13913046,8.79177,,,,,,,,,,,,,,
400,0.19939294,8.649576,,,,,,,,,,,,,,
500,0.3662591,8.450432,,,,,,,,,,,,,,
600,0.8352652,8.243599,,,,,,,,,,,,,,
700,0.63226885,8.172314,,,,,,,,,,,,,,
800,0.55171007,8.002614,,,,,,,,,,,,,,
900,0.84769315,7.940595,,,,,,,,,,,,,,
1000,0.86163443,7.833595,,,,,,,,,,,,,,
1100,0.6843066,7.6949363,,,,,,,,,,,,,,
1200,0.7000908,7.6007113,,,,,,,,,,,,,,
1300,0.5443459,7.6626616,,,,,,,,,,,,,,
1400,0.59758765,7.5239077,,,,,,,,,,,,,,
1500,0.68850255,7.4317737,,,,,,,,,,,,,,
1600,0.66206425,7.345218,,,,,,,,,,,,,,
1700,0.5856469,7.2627726,,,,,,,,,,,,,,
1800,0.89426196,7.1762786,,,,,,,,,,,,,,
1900,0.6871598,7.157546,,,,,,,,,,,,,,
2000,0.92765945,7.037556,,,,,,,,,,,,,,
2100,0.9600723,6.983191,,,,,,,,,,,,,,
2200,0.6438552,6.936714,,,,,,,,,,,,,,
2300,1.0023144,6.8932266,,,,,,,,,,,,,,
2342,,,0.3093027174472809,5.556392192840576,6.962651271800588,0.2829227149486542,5.837581157684326,3.789100763978954,3000.0,0.2634826600551605,6.122750759124756,2.568551275313094,3003.0,866.770349740982,1797.3432393074036,0.0
2400,0.9019785,6.832818,,,,,,,,,,,,,,
2500,0.6251136,6.7417746,,,,,,,,,,,,,,
2600,0.6959566,6.7143254,,,,,,,,,,,,,,
