global_step,grad_norm,loss,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,preemption_count
0,5.40242,0.9080118,,,,,,,,,,,
1,,,0.2433700391224452,0.9297927447727748,0.2345900999808754,0.9309125308850944,3554.0,0.2571022184958374,0.930454691972389,3581.0,65.19446873664856,65.32357954978943,0.0
100,0.21757315,0.25249788,,,,,,,,,,,
200,0.0694614,0.29472128,,,,,,,,,,,
300,0.15856402,0.30932444,,,,,,,,,,,
335,,,0.7016626085553851,0.3107124396732875,0.6823441264464336,0.3246239451256507,3554.0,0.7004122506370427,0.3265276208199525,3581.0,144.90755462646484,353.1981449127197,0.0
400,0.15433294,0.26560327,,,,,,,,,,,
500,0.43551147,0.29043958,,,,,,,,,,,
575,,,0.717813423701695,0.294349261692592,0.6993926160444218,0.3077871722992579,3554.0,0.7167785354780438,0.3098904019259634,3581.0,224.8026316165924,438.2464425563812,0.0
600,0.13626865,0.28330544,,,,,,,,,,,
700,0.42991012,0.29147375,,,,,,,,,,,
800,0.16098371,0.2505822,,,,,,,,,,,
813,,,0.7203812599182129,0.2894338539668492,0.7029068259355655,0.3024852883634637,3554.0,0.7200081321121893,0.3045262621954412,3581.0,304.74686646461487,522.9672827720642,0.0
900,0.23653233,0.2679713,,,,,,,,,,,
1000,0.15496293,0.24532083,,,,,,,,,,,
1086,,,0.7280577932085309,0.2850920302527291,0.7095622340144907,0.2984691956905951,3554.0,0.7266414485740715,0.3005181562630899,3581.0,384.5065891742706,610.5784409046173,0.0
1100,0.23741765,0.4351493,,,,,,,,,,,
1200,0.14012377,0.29317826,,,,,,,,,,,
1300,0.30970362,0.2489359,,,,,,,,,,,
1400,0.21324672,0.24866444,,,,,,,,,,,
1432,,,0.7335294314793178,0.2808783565248762,0.7140534872678672,0.2948540047305852,3554.0,0.7311093379118961,0.2967274316160814,3581.0,464.1984872817993,695.577291727066,0.0
1500,0.36947966,0.37110722,,,,,,,,,,,
1600,0.30741832,0.28433362,,,,,,,,,,,
1700,0.10928078,0.33077893,,,,,,,,,,,
1777,,,0.7339840616498675,0.2825146062033517,0.7144467638796075,0.2962989613925331,3554.0,0.7315916877923415,0.2981079749240785,3581.0,543.9100804328918,780.0286550521851,0.0
1800,0.23622045,0.25046846,,,,,,,,,,,
1900,0.0958929,0.3160249,,,,,,,,,,,
2000,0.064613305,0.33072767,,,,,,,,,,,
2100,0.11454107,0.27980286,,,,,,,,,,,
2121,,,0.7358603477478027,0.2785645382744925,0.7173596212014631,0.2927293149554199,3554.0,0.7343029372687447,0.2944648186609885,3581.0,623.5573661327362,864.4040508270264,0.0
2200,0.26572064,0.21903758,,,,,,,,,,,
2300,0.08916145,0.26035735,,,,,,,,,,,
2400,0.07289416,0.25245613,,,,,,,,,,,
2466,,,0.7388007300240653,0.276363866669791,0.7189413831686128,0.2908437510991137,3554.0,0.7360017633211743,0.2925107732760577,3581.0,703.4139199256897,948.98144698143,0.0
2500,0.14277692,0.28985912,,,,,,,,,,,
2600,0.14350058,0.28706497,,,,,,,,,,,
2700,0.08146057,0.27505687,,,,,,,,,,,
2714,,,0.7378334317888532,0.276566811970302,0.7181664393333216,0.290893760771314,3554.0,0.7352719321593131,0.2925329306910604,3581.0,759.9367234706879,1010.1359317302704,0.0
2714,,,,,,,,,,,759.9367234706879,,0.0
