global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,preemption_count
0,0.5981614,6.9252253,,,,,,,,,,,
1,,,0.0010363520123064,6.912936210632324,0.0011800000211223,6.912210941314697,50000.0,0.0009000000427477,6.912200927734375,10000.0,44.82565212249756,44.90806555747986,0.0
100,0.5900587,6.8750596,,,,,,,,,,,
200,0.65154314,6.735982,,,,,,,,,,,
300,0.7214032,6.599205,,,,,,,,,,,
400,0.80331194,6.468956,,,,,,,,,,,
500,1.0288845,6.2915425,,,,,,,,,,,
600,1.4655977,6.1553235,,,,,,,,,,,
700,1.9125414,5.972468,,,,,,,,,,,
800,2.520534,5.913153,,,,,,,,,,,
900,2.0952795,5.734502,,,,,,,,,,,
1000,4.1983485,5.652474,,,,,,,,,,,
1100,3.4155798,5.560658,,,,,,,,,,,
1200,2.5151672,5.395651,,,,,,,,,,,
1300,4.871965,5.420298,,,,,,,,,,,
1400,2.4100263,5.3587723,,,,,,,,,,,
1500,6.6230297,5.3278046,,,,,,,,,,,
1507,,,0.1360610574483871,4.62773323059082,0.1193599998950958,4.732553482055664,50000.0,0.0863000005483627,5.069921016693115,10000.0,549.2804605960846,596.5060997009277,0.0
1600,2.8585458,5.271871,,,,,,,,,,,
1700,2.804212,5.046507,,,,,,,,,,,
1800,4.474568,5.1384387,,,,,,,,,,,
1900,3.9112375,4.8961406,,,,,,,,,,,
2000,3.0550056,4.923817,,,,,,,,,,,
2100,4.481067,4.80966,,,,,,,,,,,
2200,3.952805,4.8140125,,,,,,,,,,,
2300,4.011087,4.662022,,,,,,,,,,,
2400,7.907822,4.585091,,,,,,,,,,,
2500,3.7349038,4.58399,,,,,,,,,,,
2600,4.396885,4.4787245,,,,,,,,,,,
2700,7.197054,4.418562,,,,,,,,,,,
2800,5.8426704,4.330622,,,,,,,,,,,
2900,5.2224154,4.337398,,,,,,,,,,,
3000,7.5702305,4.4309096,,,,,,,,,,,
3013,,,0.3066605627536773,3.3929946422576904,0.2748799920082092,3.556374311447144,50000.0,0.2070000171661377,4.062821865081787,10000.0,1053.759017944336,1124.2945764064789,0.0
3100,3.5221102,4.2908688,,,,,,,,,,,
3200,3.2395906,4.1330647,,,,,,,,,,,
3300,2.5244176,4.2659936,,,,,,,,,,,
3400,5.138242,4.1435943,,,,,,,,,,,
3500,4.5597143,4.1261997,,,,,,,,,,,
3600,3.387163,4.00596,,,,,,,,,,,
3700,4.8106217,3.9677799,,,,,,,,,,,
3800,4.9002266,4.0224776,,,,,,,,,,,
3900,2.294959,4.050378,,,,,,,,,,,
4000,4.1096916,4.014479,,,,,,,,,,,
4100,3.552419,3.887272,,,,,,,,,,,
4200,4.0435185,3.9079359,,,,,,,,,,,
4300,5.1081624,3.8033652,,,,,,,,,,,
4400,4.680511,3.7845128,,,,,,,,,,,
4500,7.2949157,3.7048912,,,,,,,,,,,
4521,,,0.4201012253761291,2.7191038131713867,0.3913999795913696,2.866050958633423,50000.0,0.2955000102519989,3.4994893074035645,10000.0,1558.368805885315,1652.1543638706207,0.0
4600,2.6221578,3.7018297,,,,,,,,,,,
4700,3.0764,3.753976,,,,,,,,,,,
4800,4.1273336,3.6958098,,,,,,,,,,,
4900,4.084299,3.6070735,,,,,,,,,,,
5000,4.555783,3.6311734,,,,,,,,,,,
5100,3.8698409,3.650017,,,,,,,,,,,
5200,2.9051335,3.5723474,,,,,,,,,,,
5300,3.472869,3.5052378,,,,,,,,,,,
5400,3.113858,3.486347,,,,,,,,,,,
5500,4.314364,3.4428072,,,,,,,,,,,
5600,3.5240593,3.522344,,,,,,,,,,,
5700,3.6309981,3.5416956,,,,,,,,,,,
5800,2.3732467,3.466225,,,,,,,,,,,
5900,2.2659194,3.3792028,,,,,,,,,,,
6000,2.2272167,3.349194,,,,,,,,,,,
6030,,,0.4949975907802582,2.3120062351226807,0.4610799849033355,2.484922170639038,50000.0,0.3559000194072723,3.1410000324249268,10000.0,2058.7887530326843,2181.130282878876,0.0
6100,2.4288673,3.4180353,,,,,,,,,,,
6200,2.3071117,3.2858002,,,,,,,,,,,
6300,2.527082,3.3402674,,,,,,,,,,,
6400,2.7768762,3.407791,,,,,,,,,,,
6500,1.779971,3.3666825,,,,,,,,,,,
6600,2.768269,3.3132834,,,,,,,,,,,
6700,2.6501627,3.355962,,,,,,,,,,,
6800,2.3695133,3.366341,,,,,,,,,,,
6900,3.175704,3.388802,,,,,,,,,,,
7000,3.3829215,3.200523,,,,,,,,,,,
7100,2.3959131,3.2599254,,,,,,,,,,,
7200,2.5916479,3.262651,,,,,,,,,,,
7300,3.175799,3.332965,,,,,,,,,,,
7400,2.065649,3.1777558,,,,,,,,,,,
7500,2.619697,3.1359386,,,,,,,,,,,
7539,,,0.5557836294174194,2.000717639923096,0.516319990158081,2.1838903427124023,50000.0,0.4001000225543976,2.861550807952881,10000.0,2556.3055233955383,2710.485612630844,0.0
7600,2.6780708,3.214562,,,,,,,,,,,
7700,2.0667858,3.2112927,,,,,,,,,,,
7800,2.072035,3.2056496,,,,,,,,,,,
7900,2.2513483,3.2231848,,,,,,,,,,,
8000,2.4956985,3.1503534,,,,,,,,,,,
8100,2.7975774,3.1370995,,,,,,,,,,,
8200,1.5618222,3.1954527,,,,,,,,,,,
8300,1.8676448,3.0333347,,,,,,,,,,,
8400,1.4246566,3.1850553,,,,,,,,,,,
8500,2.0083423,3.1760771,,,,,,,,,,,
8600,2.5594757,3.1614735,,,,,,,,,,,
8700,1.713822,3.1184523,,,,,,,,,,,
8800,2.1808512,3.0740314,,,,,,,,,,,
8900,2.6896596,3.1916394,,,,,,,,,,,
9000,1.6320819,3.0590816,,,,,,,,,,,
9046,,,0.5922353267669678,1.8043971061706543,0.5458799600601196,2.0229859352111816,50000.0,0.425100028514862,2.729520320892334,10000.0,3057.445300102234,3240.54349732399,0.0
9100,1.6641872,3.1026316,,,,,,,,,,,
9200,1.9469482,3.0008163,,,,,,,,,,,
9300,1.8262913,3.0880585,,,,,,,,,,,
9400,1.6830002,3.083952,,,,,,,,,,,
9500,1.6265752,2.9849017,,,,,,,,,,,
9600,1.8842859,3.0305429,,,,,,,,,,,
9700,2.0074189,3.0605597,,,,,,,,,,,
9800,1.782322,3.0109687,,,,,,,,,,,
9900,1.6097592,2.959163,,,,,,,,,,,
10000,1.4540476,3.0840898,,,,,,,,,,,
10100,2.2357106,2.9664474,,,,,,,,,,,
10200,1.5514604,3.069024,,,,,,,,,,,
10300,1.4094259,2.9512873,,,,,,,,,,,
10400,1.256137,2.8654857,,,,,,,,,,,
10500,1.7965013,2.9352462,,,,,,,,,,,
10562,,,0.6567681431770325,1.4954708814620972,0.5811799764633179,1.849315881729126,50000.0,0.4592000246047973,2.53713607788086,10000.0,3557.704668045044,3770.366421461105,0.0
10600,1.212742,2.9528184,,,,,,,,,,,
