global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,preemption_count
0,0.32544917,6.907757,,,,,,,,,,,
1,,,0.0008984374580904,6.907756328582764,0.0009999999310821,6.9077558517456055,50000.0,0.0010000000474974,6.907756805419922,10000.0,50.425354957580566,50.507508277893066,0.0
100,0.38144988,6.8994827,,,,,,,,,,,
200,0.49139088,6.8469915,,,,,,,,,,,
300,0.54292864,6.789967,,,,,,,,,,,
400,1.097285,6.71822,,,,,,,,,,,
500,0.8111586,6.630769,,,,,,,,,,,
600,0.8711333,6.6994176,,,,,,,,,,,
700,2.1058095,6.528369,,,,,,,,,,,
800,1.985858,6.4591064,,,,,,,,,,,
900,1.1799695,6.505389,,,,,,,,,,,
1000,1.163851,6.3227887,,,,,,,,,,,
1008,,,0.0293554682284593,6.022684097290039,0.0273000001907348,6.048311233520508,50000.0,0.0222000014036893,6.135765075683594,10000.0,462.3367838859558,519.8182735443115,0.0
1100,1.4678453,6.240934,,,,,,,,,,,
1200,1.2007779,6.670887,,,,,,,,,,,
1300,1.1712414,6.632609,,,,,,,,,,,
1400,1.2748476,6.168931,,,,,,,,,,,
1500,1.2669455,6.626298,,,,,,,,,,,
1600,1.4526658,5.9969254,,,,,,,,,,,
1700,1.3665216,6.076621,,,,,,,,,,,
1800,1.025768,6.2273192,,,,,,,,,,,
1900,1.1218559,5.953949,,,,,,,,,,,
2000,1.1386825,5.978582,,,,,,,,,,,
2061,,,0.0763085931539535,5.272983074188232,0.0740199983119964,5.304529666900635,50000.0,0.0570000037550926,5.511024475097656,10000.0,874.1860706806183,962.2767941951752,0.0
2100,1.5796047,5.960019,,,,,,,,,,,
2200,1.0425831,5.8261347,,,,,,,,,,,
2300,0.99919444,6.095479,,,,,,,,,,,
2400,0.9495526,6.476368,,,,,,,,,,,
2500,1.2176262,5.7893715,,,,,,,,,,,
2600,1.1383872,5.91985,,,,,,,,,,,
2700,1.2764308,5.699791,,,,,,,,,,,
2800,0.9883199,6.543583,,,,,,,,,,,
2900,1.2443931,5.659324,,,,,,,,,,,
3000,1.4055536,5.6485567,,,,,,,,,,,
3100,1.5251956,5.514431,,,,,,,,,,,
3113,,,0.1457226574420929,4.625796318054199,0.1349200010299682,4.70241641998291,50000.0,0.10190000385046,5.014127731323242,10000.0,1286.2746620178225,1406.4477713108065,0.0
3200,1.1096205,5.4423018,,,,,,,,,,,
3300,1.0496371,5.5319495,,,,,,,,,,,
3400,0.858904,6.4553733,,,,,,,,,,,
3500,1.0043153,5.70282,,,,,,,,,,,
3600,1.0094198,5.915129,,,,,,,,,,,
3700,1.0888205,6.385383,,,,,,,,,,,
3800,1.0075324,5.995529,,,,,,,,,,,
3900,1.3627669,5.223737,,,,,,,,,,,
4000,1.2705089,5.4023256,,,,,,,,,,,
4100,1.1273113,5.2696457,,,,,,,,,,,
4161,,,0.2064257711172104,4.119557857513428,0.1918999999761581,4.223005294799805,50000.0,0.1458000093698501,4.582226753234863,10000.0,1697.0514934062958,1849.8827998638155,0.0
4200,0.80712485,6.360247,,,,,,,,,,,
4300,1.346592,5.2995167,,,,,,,,,,,
4400,1.1647648,5.132012,,,,,,,,,,,
4500,1.5053713,5.142325,,,,,,,,,,,
4600,1.1320161,5.088352,,,,,,,,,,,
4700,1.1975995,5.0508776,,,,,,,,,,,
4800,1.1708721,5.5628753,,,,,,,,,,,
4900,0.81639546,5.9281187,,,,,,,,,,,
5000,0.93319464,5.819687,,,,,,,,,,,
5100,0.87313473,6.092194,,,,,,,,,,,
5200,1.4208801,4.910588,,,,,,,,,,,
5210,,,0.2510351538658142,3.789574146270752,0.2332399934530258,3.8981120586395264,50000.0,0.1790000051259994,4.321978092193604,10000.0,2108.523406267166,2295.0652425289154,0.0
5300,1.0798126,5.038783,,,,,,,,,,,
5400,0.8654572,5.0639496,,,,,,,,,,,
5500,1.1824784,4.8166866,,,,,,,,,,,
5600,1.0418003,5.0144343,,,,,,,,,,,
5700,1.0500602,5.054418,,,,,,,,,,,
5800,0.96586835,6.3326545,,,,,,,,,,,
5900,1.1443106,4.7263937,,,,,,,,,,,
6000,0.8405552,5.5748596,,,,,,,,,,,
6100,0.9444619,4.989703,,,,,,,,,,,
6200,0.9536473,4.6766467,,,,,,,,,,,
6256,,,0.3115234375,3.348360300064087,0.290719985961914,3.47202467918396,50000.0,0.2222000062465667,3.97227954864502,10000.0,2518.41144156456,2742.698610305786,0.0
6300,1.0269079,4.70321,,,,,,,,,,,
6400,0.7173159,6.042376,,,,,,,,,,,
6500,1.2775118,5.314993,,,,,,,,,,,
6600,0.8634731,5.79822,,,,,,,,,,,
6700,0.90606076,6.2537704,,,,,,,,,,,
6800,0.74233013,5.871184,,,,,,,,,,,
6900,1.0645648,4.7339783,,,,,,,,,,,
7000,0.9835045,4.551978,,,,,,,,,,,
7100,0.7140217,6.008482,,,,,,,,,,,
7200,1.0830923,4.747279,,,,,,,,,,,
7294,,,0.3493945300579071,3.16360092163086,0.3254999816417694,3.2964208126068115,50000.0,0.2489000111818313,3.824521780014038,10000.0,2927.5763895511627,3189.6433601379395,0.0
7300,1.4641875,4.4807234,,,,,,,,,,,
7400,0.70675707,6.1801143,,,,,,,,,,,
7500,0.891775,4.4551506,,,,,,,,,,,
7600,0.67291325,6.201704,,,,,,,,,,,
7700,1.0736301,4.3903074,,,,,,,,,,,
7800,0.9602207,4.4306307,,,,,,,,,,,
7900,0.95705265,4.4924917,,,,,,,,,,,
8000,0.83826774,4.3193684,,,,,,,,,,,
8100,1.1717529,4.388103,,,,,,,,,,,
8200,0.94544697,4.246899,,,,,,,,,,,
8300,1.1059463,4.4163737,,,,,,,,,,,
8333,,,0.3866601586341858,2.98698091506958,0.3556999862194061,3.1359670162200928,50000.0,0.2702000141143799,3.687043428421021,10000.0,3336.724367618561,3636.657410621643,0.0
8400,0.6618852,5.566256,,,,,,,,,,,
8500,0.7773251,5.112959,,,,,,,,,,,
8600,1.3162527,5.5294914,,,,,,,,,,,
8700,0.8506205,4.7166605,,,,,,,,,,,
8800,0.7966164,5.199111,,,,,,,,,,,
8900,0.80523366,4.275511,,,,,,,,,,,
9000,0.9809403,4.3271165,,,,,,,,,,,
9100,0.8595697,4.8834114,,,,,,,,,,,
9200,0.74505866,5.037984,,,,,,,,,,,
9300,0.72118723,5.1890936,,,,,,,,,,,
9371,,,0.440234363079071,2.568216562271118,0.3959999978542328,2.8050405979156494,50000.0,0.3073000013828277,3.391570806503296,10000.0,3745.145546674728,4084.3728551864624,0.0
9400,0.8708401,4.3547997,,,,,,,,,,,
9500,0.7992084,4.50725,,,,,,,,,,,
9600,0.82230645,6.0732512,,,,,,,,,,,
9700,0.88928384,4.944316,,,,,,,,,,,
9800,0.7532645,5.9822063,,,,,,,,,,,
9900,0.68751234,5.4361186,,,,,,,,,,,
10000,1.015266,4.1514616,,,,,,,,,,,
10100,0.774227,4.1595273,,,,,,,,,,,
10200,0.8888283,3.9895692,,,,,,,,,,,
10300,0.864317,4.097542,,,,,,,,,,,
10400,0.6108833,5.651892,,,,,,,,,,,
10408,,,0.4455077946186065,2.621795177459717,0.4178199768066406,2.7690317630767822,50000.0,0.3235000073909759,3.3453187942504883,10000.0,4153.292053461075,4533.198834657669,0.0
10500,0.8660777,3.934555,,,,,,,,,,,
10600,0.75805074,4.438155,,,,,,,,,,,
10700,0.5803407,5.767873,,,,,,,,,,,
10800,0.8919957,4.054058,,,,,,,,,,,
10900,0.87969583,4.0574408,,,,,,,,,,,
11000,0.8393481,3.9766138,,,,,,,,,,,
11100,0.92033166,3.943844,,,,,,,,,,,
