global_step,grad_norm,loss,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,validation/num_examples,test/ctc_loss,test/wer,test/num_examples,score,total_duration,preemption_count
0,37.788727,31.853104,,,,,,,,,,,
1,,,31.73095,1.3853101638798075,30.308647,1.3421451244102691,5348.0,30.405632,1.374504905246481,2472.0,61.49879455566406,61.69606041908264,0.0
100,5.291145,6.464947,,,,,,,,,,,
200,0.40869382,5.8501306,,,,,,,,,,,
300,0.40958905,5.8074775,,,,,,,,,,,
400,0.2913964,5.7912126,,,,,,,,,,,
500,0.3822256,5.79068,,,,,,,,,,,
600,1.7398794,5.794303,,,,,,,,,,,
700,0.49428967,5.779904,,,,,,,,,,,
800,1.6368599,5.75576,,,,,,,,,,,
900,1.2871866,5.764692,,,,,,,,,,,
1000,1.2183362,5.755856,,,,,,,,,,,
1100,5.131578,5.663473,,,,,,,,,,,
1200,0.7079893,5.5289693,,,,,,,,,,,
1300,0.6517001,5.334847,,,,,,,,,,,
1400,0.9343466,4.792207,,,,,,,,,,,
1500,1.5529486,4.1608825,,,,,,,,,,,
1600,1.0931793,3.7990637,,,,,,,,,,,
1700,1.4936867,3.5316818,,,,,,,,,,,
1800,0.99050033,3.325983,,,,,,,,,,,
1900,1.4512289,3.2309384,,,,,,,,,,,
2000,1.1625601,3.1188376,,,,,,,,,,,
2100,1.238126,3.0250428,,,,,,,,,,,
2200,1.3626313,2.9125755,,,,,,,,,,,
2300,1.2188587,2.890715,,,,,,,,,,,
2400,1.045172,2.7850976,,,,,,,,,,,
2500,0.9458962,2.7415051,,,,,,,,,,,
2600,0.98912567,2.6693926,,,,,,,,,,,
2700,1.0266101,2.5857437,,,,,,,,,,,
2800,0.86366445,2.5849202,,,,,,,,,,,
2900,0.88797075,2.4708943,,,,,,,,,,,
3000,0.9919952,2.4563482,,,,,,,,,,,
3070,,,2.8650804,0.6044159749541719,3.3021538,0.6579995947862497,5348.0,2.9789965,0.6002681128511365,2472.0,2454.212151527405,2583.969573497772,0.0
3100,1.231448,2.5268028,,,,,,,,,,,
3200,0.84986573,2.3567705,,,,,,,,,,,
3300,0.9895831,2.3894053,,,,,,,,,,,
3400,0.9118421,2.3354192,,,,,,,,,,,
3500,1.3894501,2.3091567,,,,,,,,,,,
3600,1.264022,2.2892659,,,,,,,,,,,
3700,0.9144639,2.2484674,,,,,,,,,,,
3800,0.78469664,2.2295418,,,,,,,,,,,
3900,0.7645421,2.1517248,,,,,,,,,,,
4000,0.883953,2.1599202,,,,,,,,,,,
4100,0.7962063,2.0300016,,,,,,,,,,,
4200,0.726524,2.1137989,,,,,,,,,,,
4300,0.83730716,2.0980556,,,,,,,,,,,
4400,0.82349855,2.0987368,,,,,,,,,,,
4500,0.7458717,2.0364077,,,,,,,,,,,
4600,0.77316916,2.0061934,,,,,,,,,,,
4700,0.7046509,1.9847891,,,,,,,,,,,
4800,0.70040107,2.0004742,,,,,,,,,,,
4900,0.7710095,1.9733548,,,,,,,,,,,
5000,0.7652023,1.9717468,,,,,,,,,,,
5100,0.8347324,1.94898,,,,,,,,,,,
5200,0.7748866,1.903985,,,,,,,,,,,
5300,0.8495061,1.9281349,,,,,,,,,,,
5400,0.74341923,1.9027835,,,,,,,,,,,
5500,0.60740346,1.7878081,,,,,,,,,,,
5600,0.6456424,1.8909864,,,,,,,,,,,
5700,0.67461526,1.8465551,,,,,,,,,,,
5800,0.81634355,1.8197675,,,,,,,,,,,
5900,0.6555907,1.7985831,,,,,,,,,,,
6000,0.7257752,1.8741944,,,,,,,,,,,
6100,0.5536249,1.8403136,,,,,,,,,,,
6172,,,0.56129974,0.1961697253815624,0.87899894,0.2643440843616436,5348.0,0.60127467,0.2013080657282717,2472.0,4847.045278549194,5080.112993717194,0.0
6200,0.5545465,1.8296216,,,,,,,,,,,
6300,0.5601703,1.7741237,,,,,,,,,,,
6400,0.6005033,1.7961894,,,,,,,,,,,
6500,0.5519119,1.7750956,,,,,,,,,,,
6600,0.7949642,1.8473452,,,,,,,,,,,
6700,0.5500412,1.7401898,,,,,,,,,,,
6800,0.58951396,1.7543294,,,,,,,,,,,
6900,0.525661,1.69853,,,,,,,,,,,
7000,0.5501955,1.6952039,,,,,,,,,,,
7100,0.61480033,1.7368126,,,,,,,,,,,
7200,0.57472646,1.7137172,,,,,,,,,,,
7300,0.519693,1.6747434,,,,,,,,,,,
7400,0.57137674,1.6860694,,,,,,,,,,,
7500,0.48155156,1.7356849,,,,,,,,,,,
7600,0.5646093,1.6613716,,,,,,,,,,,
7700,0.4847686,1.7102606,,,,,,,,,,,
7800,0.5405097,1.678569,,,,,,,,,,,
7900,0.5455225,1.7335197,,,,,,,,,,,
8000,0.64621997,1.7041671,,,,,,,,,,,
8100,0.47497705,1.6587337,,,,,,,,,,,
8200,0.5448033,1.7050511,,,,,,,,,,,
8300,0.7970605,1.6924428,,,,,,,,,,,
8400,0.5289932,1.6794329,,,,,,,,,,,
8500,0.61912066,1.6553333,,,,,,,,,,,
8600,0.5174786,1.6493198,,,,,,,,,,,
8700,0.57663405,1.5752848,,,,,,,,,,,
8800,0.4879511,1.6055564,,,,,,,,,,,
8900,0.43430734,1.6169972,,,,,,,,,,,
9000,0.4972063,1.5706775,,,,,,,,,,,
9100,0.43523708,1.5921193,,,,,,,,,,,
9200,0.5276215,1.6224346,,,,,,,,,,,
9272,,,0.36697546,0.1359488906810886,0.69848716,0.2111935474534245,5348.0,0.44714653,0.1498791461011923,2472.0,7239.861588716507,7577.304648637772,0.0
9300,0.4548076,1.5806603,,,,,,,,,,,
9400,0.43881622,1.5006399,,,,,,,,,,,
9500,0.41646764,1.5450585,,,,,,,,,,,
9600,0.38889325,1.5519948,,,,,,,,,,,
9700,0.44741324,1.5630713,,,,,,,,,,,
9800,0.53279823,1.5886078,,,,,,,,,,,
9900,0.4473571,1.5236326,,,,,,,,,,,
