global_step,grad_norm,loss,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,validation/num_examples,test/ctc_loss,test/wer,test/num_examples,score,total_duration,preemption_count
0,19.857552,32.40349,,,,,,,,,,,
1,,,31.655176,5.169397996793204,30.083109,4.88757248019759,5348.0,30.383625,5.046086974183982,2472.0,61.17210221290589,61.377071142196655,0.0
100,5.5882497,9.072707,,,,,,,,,,,
200,1.0190121,6.543153,,,,,,,,,,,
300,1.02753,6.0512724,,,,,,,,,,,
400,0.6719408,5.910064,,,,,,,,,,,
500,0.5815102,5.8355784,,,,,,,,,,,
600,0.5797622,5.734785,,,,,,,,,,,
700,0.43597534,5.6657453,,,,,,,,,,,
800,0.5305796,5.5493884,,,,,,,,,,,
900,0.81421363,5.3819914,,,,,,,,,,,
1000,0.70121473,5.0597,,,,,,,,,,,
1100,0.78957164,4.6799126,,,,,,,,,,,
1200,1.1263517,4.3546104,,,,,,,,,,,
1300,2.1064525,4.1283646,,,,,,,,,,,
1400,1.5140182,3.8658326,,,,,,,,,,,
1500,1.757315,3.7193894,,,,,,,,,,,
1600,2.7029157,3.5867424,,,,,,,,,,,
1700,3.4026372,3.493538,,,,,,,,,,,
1800,3.1423538,3.3224316,,,,,,,,,,,
1900,2.3376136,3.2374868,,,,,,,,,,,
2000,2.1883588,3.1392264,,,,,,,,,,,
2006,,,5.989604,0.9397643714856544,5.980784,0.8938822371658193,5348.0,5.862755,0.8971218491662096,2472.0,2457.3942334651947,2664.788477897644,0.0
2100,2.9877577,3.032861,,,,,,,,,,,
2200,2.2557733,2.9484215,,,,,,,,,,,
2300,3.2914464,2.8504605,,,,,,,,,,,
2400,2.7266011,2.8982093,,,,,,,,,,,
2500,3.3719192,2.69883,,,,,,,,,,,
2600,2.563429,2.706204,,,,,,,,,,,
2700,3.0201852,2.653326,,,,,,,,,,,
2800,4.100932,2.6558619,,,,,,,,,,,
2900,2.932893,2.5804,,,,,,,,,,,
3000,4.678948,2.5150208,,,,,,,,,,,
3100,3.3113492,2.5308099,,,,,,,,,,,
3200,3.40985,2.460311,,,,,,,,,,,
3300,4.019349,2.484915,,,,,,,,,,,
3400,4.4738097,2.4460633,,,,,,,,,,,
3500,3.5416636,2.4009295,,,,,,,,,,,
3600,2.9373379,2.2714658,,,,,,,,,,,
3700,3.44992,2.3022003,,,,,,,,,,,
3800,3.7196102,2.3045938,,,,,,,,,,,
3900,2.714223,2.2477868,,,,,,,,,,,
4000,3.878939,2.321686,,,,,,,,,,,
4034,,,2.5171034,0.5953812961137895,2.9472437,0.6356838946830167,5348.0,2.4034386,0.5636463347754554,2472.0,4853.482799768448,5150.491860628128,0.0
4100,4.669874,2.2792273,,,,,,,,,,,
4200,4.8726788,2.176233,,,,,,,,,,,
4300,3.6988268,2.2273974,,,,,,,,,,,
4400,4.970079,2.1141164,,,,,,,,,,,
4500,3.324798,2.1389663,,,,,,,,,,,
4600,5.081163,2.1628127,,,,,,,,,,,
4700,3.2144113,2.1034074,,,,,,,,,,,
4800,2.7673721,2.1285198,,,,,,,,,,,
4900,4.315022,2.155925,,,,,,,,,,,
5000,3.121222,2.058215,,,,,,,,,,,
5100,3.6247296,2.0331516,,,,,,,,,,,
5200,3.1754909,2.0370195,,,,,,,,,,,
5300,3.9804382,2.0480494,,,,,,,,,,,
5400,4.527392,1.9848965,,,,,,,,,,,
5500,6.5991616,1.9973484,,,,,,,,,,,
5600,2.7177715,2.0202508,,,,,,,,,,,
5700,2.7756093,1.9682193,,,,,,,,,,,
5800,2.5662646,1.9209249,,,,,,,,,,,
5900,3.4708018,1.9218926,,,,,,,,,,,
6000,3.9374392,1.9598376,,,,,,,,,,,
6063,,,0.6671563,0.2344197226307383,1.105752,0.3103647888546922,5348.0,0.74553704,0.2419312249913675,2472.0,7250.108556032181,7645.447008371353,0.0
6100,3.8397748,1.9395556,,,,,,,,,,,
6200,3.0147572,1.9352292,,,,,,,,,,,
6300,3.908204,1.9418312,,,,,,,,,,,
6400,3.8844197,1.9085679,,,,,,,,,,,
6500,3.6477585,1.9221454,,,,,,,,,,,
6600,2.3685195,1.9008696,,,,,,,,,,,
6700,3.3526528,1.9297292,,,,,,,,,,,
6800,2.77031,1.9494247,,,,,,,,,,,
6900,3.475984,1.9053706,,,,,,,,,,,
7000,3.2406905,1.8050375,,,,,,,,,,,
7100,2.987064,1.925313,,,,,,,,,,,
7200,2.6109042,1.8611705,,,,,,,,,,,
7300,4.0950227,1.8218039,,,,,,,,,,,
7400,2.2778316,1.8157022,,,,,,,,,,,
7500,3.5522952,1.7969216,,,,,,,,,,,
7600,3.5429342,1.8375812,,,,,,,,,,,
7700,3.094829,1.8203073,,,,,,,,,,,
7800,3.7788277,1.8568267,,,,,,,,,,,
7900,4.800364,1.8256929,,,,,,,,,,,
8000,,,0.543008,0.1870896124160898,0.92615396,0.2658298681125722,5348.0,0.5889816,0.1946458676091239,2472.0,9532.060521364212,10032.046446800232,0.0
8000,,,,,,,,,,,9532.060521364212,,0.0
