global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,preemption_count
0,5.5418735,11.12379,,,,,,,,,,,,,,
1,,,0.0006561981863342,11.124899864196776,0.0,0.0004835649742744,11.121123313903809,0.0,3000.0,0.0007088489946909,11.125858306884766,0.0,3003.0,33.480204343795776,33.68503737449646,0.0
100,0.18383491,8.695674,,,,,,,,,,,,,,
200,0.27995664,8.226906,,,,,,,,,,,,,,
300,0.691332,7.6366506,,,,,,,,,,,,,,
400,0.8386206,7.287295,,,,,,,,,,,,,,
500,0.78751034,6.8928723,,,,,,,,,,,,,,
600,0.8087617,6.62761,,,,,,,,,,,,,,
700,0.5834182,6.378327,,,,,,,,,,,,,,
800,0.7121107,6.096434,,,,,,,,,,,,,,
900,0.52280915,5.9138217,,,,,,,,,,,,,,
1000,0.9803068,5.6847095,,,,,,,,,,,,,,
1100,0.74976283,5.5317473,,,,,,,,,,,,,,
1200,0.9815905,5.3121586,,,,,,,,,,,,,,
1300,0.92029005,5.2094045,,,,,,,,,,,,,,
1400,0.77298146,5.143515,,,,,,,,,,,,,,
1500,0.6371808,4.826693,,,,,,,,,,,,,,
1600,0.5564081,4.7404947,,,,,,,,,,,,,,
1700,0.6893168,4.6641355,,,,,,,,,,,,,,
1800,0.6161919,4.4665875,,,,,,,,,,,,,,
1900,0.7966392,4.457148,,,,,,,,,,,,,,
2000,0.6735151,4.476137,,,,,,,,,,,,,,
2100,0.55516523,4.2231555,,,,,,,,,,,,,,
2200,0.651526,4.260092,,,,,,,,,,,,,,
2300,0.6240385,4.2272744,,,,,,,,,,,,,,
2338,,,0.4946198761463165,3.1559081077575684,20.67353198807472,0.4919095933437347,3.176603078842163,16.345482354165828,3000.0,0.4879786372184753,3.259354829788208,14.975878449648697,3003.0,869.7264041900635,1794.9965443611145,0.0
2400,0.59610224,4.1168404,,,,,,,,,,,,,,
2500,0.5991282,4.1172647,,,,,,,,,,,,,,
2600,0.45468166,4.024383,,,,,,,,,,,,,,
2700,0.5108157,3.9309156,,,,,,,,,,,,,,
2800,0.62107295,3.9196467,,,,,,,,,,,,,,
2900,0.562537,4.057706,,,,,,,,,,,,,,
3000,0.48416626,3.8967612,,,,,,,,,,,,,,
3100,0.52926594,3.787216,,,,,,,,,,,,,,
3200,0.5174778,3.8052905,,,,,,,,,,,,,,
3300,0.48499793,3.8160114,,,,,,,,,,,,,,
3400,0.44322205,3.7547092,,,,,,,,,,,,,,
3500,0.42566022,3.6956165,,,,,,,,,,,,,,
3600,0.39861518,3.7841518,,,,,,,,,,,,,,
3700,0.45393375,3.7403262,,,,,,,,,,,,,,
3800,0.38971463,3.6994681,,,,,,,,,,,,,,
3900,0.36295515,3.5912654,,,,,,,,,,,,,,
4000,0.34311056,3.717749,,,,,,,,,,,,,,
4100,0.35615778,3.6141508,,,,,,,,,,,,,,
4200,0.34078187,3.6476467,,,,,,,,,,,,,,
4300,0.32581675,3.632628,,,,,,,,,,,,,,
4400,0.3375948,3.579375,,,,,,,,,,,,,,
4500,0.30368927,3.485237,,,,,,,,,,,,,,
4600,0.35904714,3.5666928,,,,,,,,,,,,,,
4677,,,0.5661449432373047,2.4700348377227783,26.642990562374948,0.5757647156715393,2.390043973922729,22.66955669151662,3000.0,0.5771076679229736,2.395925521850586,21.27953309830709,3003.0,1706.0270655155182,3109.437527179718,0.0
4700,0.28730297,3.5502515,,,,,,,,,,,,,,
4800,0.29553628,3.5662029,,,,,,,,,,,,,,
4900,0.3031999,3.5498278,,,,,,,,,,,,,,
5000,0.27319777,3.4841926,,,,,,,,,,,,,,
5100,0.25182626,3.5555754,,,,,,,,,,,,,,
5200,0.2667501,3.472405,,,,,,,,,,,,,,
5300,0.2853843,3.4848661,,,,,,,,,,,,,,
5400,0.2675759,3.4300807,,,,,,,,,,,,,,
5500,0.26933327,3.434827,,,,,,,,,,,,,,
5600,0.23495615,3.4151542,,,,,,,,,,,,,,
5700,0.21569504,3.5245376,,,,,,,,,,,,,,
5800,0.22695607,3.3671448,,,,,,,,,,,,,,
5900,0.2544241,3.4587166,,,,,,,,,,,,,,
6000,0.22583199,3.358096,,,,,,,,,,,,,,
6100,0.2565645,3.3399622,,,,,,,,,,,,,,
6200,0.21437456,3.3777351,,,,,,,,,,,,,,
6300,0.22460648,3.392919,,,,,,,,,,,,,,
6400,0.24480204,3.3987105,,,,,,,,,,,,,,
6500,0.20641893,3.3384686,,,,,,,,,,,,,,
6600,0.20303708,3.323377,,,,,,,,,,,,,,
6700,0.18842712,3.3370335,,,,,,,,,,,,,,
6800,0.24991952,3.3757334,,,,,,,,,,,,,,
6900,0.21660368,3.3264544,,,,,,,,,,,,,,
7000,0.19370796,3.3419993,,,,,,,,,,,,,,
