global_step,grad_norm,loss,train/loss,validation/loss,validation/num_examples,test/loss,test/num_examples,score,total_duration,preemption_count
0,2.3831573,0.25390792,,,,,,,,
1,,,0.2544375567685338,0.2565852584269663,89000000.0,0.2571114570871904,89274637.0,169.24496984481812,169.44202399253845,0.0
100,0.005014435,0.13744739,,,,,,,,
200,0.006377324,0.1371699,,,,,,,,
300,0.015873024,0.13622174,,,,,,,,
400,0.008553818,0.13658592,,,,,,,,
441,,,0.1365421006046208,0.1366578426966292,89000000.0,0.1400529917584543,89274637.0,707.3746316432953,1908.949345827103,0.0
500,0.007839713,0.13673352,,,,,,,,
600,0.017373128,0.13518095,,,,,,,,
700,0.0055225505,0.13278317,,,,,,,,
800,,,0.1343144745928474,0.1344470561797753,89000000.0,0.1376583922710321,89274637.0,1098.6966338157654,3446.6249573230743,0.0
800,,,,,,,,1098.6966338157654,,0.0
