global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,preemption_count
0,2.9335566,0.79433155,,,,,,,,,,,,,,
1,,,0.471046507358551,0.792041003704071,0.0218804161201859,0.4721554815769195,0.7918241024017334,0.0251717678450762,43793.0,0.4740508198738098,0.7922861576080322,0.0272623598576904,43793.0,18.806040048599243,18.881436824798584,0.0
100,0.06680934,0.08926707,,,,,,,,,,,,,,
200,0.017845115,0.05469509,,,,,,,,,,,,,,
300,0.012139005,0.053900428,,,,,,,,,,,,,,
400,0.01235307,0.05217275,,,,,,,,,,,,,,
500,0.014024702,0.05742856,,,,,,,,,,,,,,
600,0.009310577,0.055533998,,,,,,,,,,,,,,
700,0.008382492,0.056799624,,,,,,,,,,,,,,
800,0.043150976,0.056961857,,,,,,,,,,,,,,
900,0.06003974,0.05466529,,,,,,,,,,,,,,
1000,0.01877273,0.048748706,,,,,,,,,,,,,,
1080,,,0.9866893887519836,0.0544117167592048,0.0364844583938079,0.9841179251670836,0.0644650310277938,0.0409597848965581,43793.0,0.983142077922821,0.0677843317389488,0.0412265306889178,43793.0,258.065438747406,472.7246868610382,0.0
1100,0.12283744,0.056979857,,,,,,,,,,,,,,
1200,0.06104226,0.05447359,,,,,,,,,,,,,,
1300,0.028854668,0.050632928,,,,,,,,,,,,,,
1400,0.15466703,0.056832604,,,,,,,,,,,,,,
1500,0.022680178,0.052157614,,,,,,,,,,,,,,
1600,0.10593859,0.0536444,,,,,,,,,,,,,,
1700,0.02304745,0.05550402,,,,,,,,,,,,,,
1800,0.050483465,0.049191665,,,,,,,,,,,,,,
1900,0.07019711,0.048928652,,,,,,,,,,,,,,
2000,0.045193642,0.050215095,,,,,,,,,,,,,,
2100,0.042747855,0.05264014,,,,,,,,,,,,,,
2147,,,0.9867061972618104,0.0530634298920631,0.0627178554554046,0.984136998653412,0.0624522194266319,0.060408391650938,43793.0,0.983150064945221,0.0659452825784683,0.061272125779223,43793.0,497.1699304580689,789.8097543716431,0.0
2200,0.069862984,0.052116442,,,,,,,,,,,,,,
2300,0.23494342,0.05238101,,,,,,,,,,,,,,
2400,0.09502202,0.050935443,,,,,,,,,,,,,,
2500,0.03572845,0.05286522,,,,,,,,,,,,,,
2600,0.070308596,0.056917004,,,,,,,,,,,,,,
2700,0.071974,0.05446369,,,,,,,,,,,,,,
2800,0.07141226,0.053561106,,,,,,,,,,,,,,
2900,0.03642748,0.055797543,,,,,,,,,,,,,,
3000,0.054864407,0.046930984,,,,,,,,,,,,,,
3100,0.08735782,0.04933434,,,,,,,,,,,,,,
3200,0.056954082,0.046766233,,,,,,,,,,,,,,
3204,,,0.9871838688850404,0.0476276725530624,0.0997801834492632,0.9844585061073304,0.0564911738038063,0.0996042900560821,43793.0,0.9834364652633668,0.0595523379743099,0.1000480090867007,43793.0,736.172131061554,1108.5708360671997,0.0
3300,0.059267808,0.047583893,,,,,,,,,,,,,,
3400,0.056999538,0.050607245,,,,,,,,,,,,,,
3500,0.0878052,0.05630659,,,,,,,,,,,,,,
3600,0.051024046,0.052177425,,,,,,,,,,,,,,
3700,0.14781763,0.057848137,,,,,,,,,,,,,,
3800,0.065048955,0.047305923,,,,,,,,,,,,,,
3900,0.08544157,0.051983345,,,,,,,,,,,,,,
4000,0.05428721,0.04522627,,,,,,,,,,,,,,
4100,0.05315692,0.04470837,,,,,,,,,,,,,,
4200,0.094146974,0.050294533,,,,,,,,,,,,,,
4252,,,0.9869582653045654,0.0473573133349418,0.1233750410696762,0.9843533635139464,0.0571029148995876,0.1130646178491294,43793.0,0.9833703637123108,0.0604316778481006,0.1172455085052138,43793.0,975.2405714988708,1427.6595916748047,0.0
4300,0.060001478,0.04681305,,,,,,,,,,,,,,
4400,0.043052036,0.049402546,,,,,,,,,,,,,,
4500,0.11804632,0.049362835,,,,,,,,,,,,,,
4600,0.04200797,0.048844796,,,,,,,,,,,,,,
4700,0.06376488,0.050399214,,,,,,,,,,,,,,
4800,0.04308815,0.04349106,,,,,,,,,,,,,,
4900,0.066081986,0.046282418,,,,,,,,,,,,,,
5000,0.03992939,0.04319156,,,,,,,,,,,,,,
5100,0.040979955,0.0466015,,,,,,,,,,,,,,
5200,0.038648855,0.047835633,,,,,,,,,,,,,,
5300,0.091784455,0.048991375,,,,,,,,,,,,,,
5324,,,0.9873886108398438,0.0444254241883754,0.155390505572758,0.9846371412277222,0.0552022084593772,0.1400423739003458,43793.0,0.9836866855621338,0.058391835540533,0.1453043872178772,43793.0,1214.259568452835,1745.563125371933,0.0
5400,0.07297677,0.050018776,,,,,,,,,,,,,,
5500,0.054759122,0.043977212,,,,,,,,,,,,,,
5600,0.08342544,0.04338368,,,,,,,,,,,,,,
5700,0.04136485,0.04787058,,,,,,,,,,,,,,
5800,0.047762215,0.044131715,,,,,,,,,,,,,,
5900,0.11369902,0.045141377,,,,,,,,,,,,,,
6000,,,0.9876568913459778,0.0423464849591255,0.1817129763338811,0.9849956035614014,0.0521167330443859,0.1565391893060855,43793.0,0.9840012788772584,0.0550210550427436,0.1586160018360357,43793.0,1363.5428793430328,1973.888911485672,0.0
6000,,,,,,,,,,,,,,1363.5428793430328,,0.0
