global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,preemption_count
0,4.96581,11.048286,,,,,,,,,,,,,,
1,,,0.0006353600765578,11.039224624633787,0.0,0.0004835649742744,11.060032844543455,0.0,3000.0,0.0007088489946909,11.044007301330566,0.0,3003.0,29.749680519104004,29.9604549407959,0.0
100,0.16954646,9.097899,,,,,,,,,,,,,,
200,0.13655983,8.932866,,,,,,,,,,,,,,
300,0.15298907,8.775119,,,,,,,,,,,,,,
400,0.46681097,8.636056,,,,,,,,,,,,,,
500,0.95317036,8.404635,,,,,,,,,,,,,,
600,0.48143345,8.25902,,,,,,,,,,,,,,
700,0.6364918,8.139088,,,,,,,,,,,,,,
800,0.5384949,7.987229,,,,,,,,,,,,,,
900,0.6248366,7.873143,,,,,,,,,,,,,,
1000,0.6850459,7.8060436,,,,,,,,,,,,,,
1100,0.79674166,7.7385726,,,,,,,,,,,,,,
1200,0.8253677,7.6166716,,,,,,,,,,,,,,
1300,0.74341005,7.582462,,,,,,,,,,,,,,
1400,0.65979797,7.5024314,,,,,,,,,,,,,,
1500,0.5866937,7.45463,,,,,,,,,,,,,,
1600,0.5664345,7.356817,,,,,,,,,,,,,,
1700,0.8339336,7.29183,,,,,,,,,,,,,,
1800,0.83872426,7.1784964,,,,,,,,,,,,,,
1900,0.6788242,7.07166,,,,,,,,,,,,,,
2000,0.7775029,7.104604,,,,,,,,,,,,,,
2100,0.6471677,6.918727,,,,,,,,,,,,,,
2200,0.71749735,6.95452,,,,,,,,,,,,,,
2300,0.5918571,6.7914047,,,,,,,,,,,,,,
2345,,,0.3077246248722076,5.52118444442749,6.842426138439567,0.2837782502174377,5.792331218719482,3.685785097415426,3000.0,0.2610888481140136,6.0868682861328125,2.5667535518782065,3003.0,865.4781317710876,1790.197098493576,0.0
2400,0.8523715,6.8593025,,,,,,,,,,,,,,
2500,0.81310236,6.771751,,,,,,,,,,,,,,
2600,0.7134311,6.5920663,,,,,,,,,,,,,,
2700,0.57033086,6.5740647,,,,,,,,,,,,,,
2800,0.77585745,6.567661,,,,,,,,,,,,,,
2900,0.57280153,6.573941,,,,,,,,,,,,,,
3000,0.6660841,6.4529696,,,,,,,,,,,,,,
3100,0.8140574,6.443699,,,,,,,,,,,,,,
3200,0.6397904,6.325369,,,,,,,,,,,,,,
3300,0.8446178,6.308855,,,,,,,,,,,,,,
3400,0.8199996,6.2442746,,,,,,,,,,,,,,
3500,0.60493845,6.184672,,,,,,,,,,,,,,
3600,0.8078539,6.068438,,,,,,,,,,,,,,
3700,0.57801867,5.9927225,,,,,,,,,,,,,,
3800,0.76316816,6.069259,,,,,,,,,,,,,,
3900,0.701814,5.9456215,,,,,,,,,,,,,,
4000,0.60087186,5.939295,,,,,,,,,,,,,,
4100,0.5566135,5.8766484,,,,,,,,,,,,,,
4200,0.63378197,5.9020267,,,,,,,,,,,,,,
4300,0.6512981,5.7465806,,,,,,,,,,,,,,
4400,0.7281502,5.7304316,,,,,,,,,,,,,,
4500,0.7082293,5.558419,,,,,,,,,,,,,,
4600,0.5904819,5.562994,,,,,,,,,,,,,,
4687,,,0.4627463817596435,3.885980129241944,17.634782824072662,0.4519100785255432,3.9586377143859854,13.40766113161758,3000.0,0.4399512112140655,4.112425327301025,11.29719085929977,3003.0,1702.2365357875824,3404.2764348983765,0.0
4700,0.5680847,5.4579678,,,,,,,,,,,,,,
4800,0.676666,5.5156918,,,,,,,,,,,,,,
4900,0.50566536,5.421247,,,,,,,,,,,,,,
5000,0.49846372,5.3992057,,,,,,,,,,,,,,
5100,0.6246499,5.4299884,,,,,,,,,,,,,,
5200,0.49792492,5.4328065,,,,,,,,,,,,,,
5300,0.63350016,5.373739,,,,,,,,,,,,,,
5400,0.5439995,5.326851,,,,,,,,,,,,,,
5500,0.52579564,5.333172,,,,,,,,,,,,,,
5600,0.5846412,5.242611,,,,,,,,,,,,,,
5700,0.53263146,5.351235,,,,,,,,,,,,,,
5800,0.49171036,5.2533026,,,,,,,,,,,,,,
5900,0.5648661,5.2327795,,,,,,,,,,,,,,
6000,0.5036476,5.2827573,,,,,,,,,,,,,,
