global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,preemption_count
0,0.3362999,6.907757,,,,,,,,,,,
1,,,0.0009960937313735,6.907756328582764,0.0009999999310821,6.9077558517456055,50000.0,0.0010000000474974,6.907756805419922,10000.0,48.812073707580566,48.89174437522888,0.0
100,0.45960647,6.897285,,,,,,,,,,,
200,0.51749736,6.8419237,,,,,,,,,,,
300,0.44437218,6.828098,,,,,,,,,,,
400,0.7055393,6.7184334,,,,,,,,,,,
500,0.5448024,6.7663074,,,,,,,,,,,
600,0.7349759,6.777518,,,,,,,,,,,
700,0.9335294,6.5416956,,,,,,,,,,,
800,0.96189183,6.486264,,,,,,,,,,,
900,0.7818017,6.3992634,,,,,,,,,,,
1000,0.9032207,6.7632837,,,,,,,,,,,
1018,,,0.0252929683774709,6.127302169799805,0.02415999956429,6.146903991699219,50000.0,0.018800001591444,6.229177951812744,10000.0,460.94757890701294,517.9624862670898,0.0
1100,0.81415755,6.2788973,,,,,,,,,,,
1200,1.0635252,6.384063,,,,,,,,,,,
1300,0.85586977,6.270646,,,,,,,,,,,
1400,0.8860195,6.2557287,,,,,,,,,,,
1500,0.93657863,6.3623447,,,,,,,,,,,
1600,0.9371304,6.1034627,,,,,,,,,,,
1700,1.4026297,6.1926007,,,,,,,,,,,
1800,0.8496462,6.1297207,,,,,,,,,,,
1900,0.72093236,6.101551,,,,,,,,,,,
2000,0.9643505,6.332206,,,,,,,,,,,
2073,,,0.0655468702316284,5.470003128051758,0.062279999256134,5.505962371826172,50000.0,0.0499000027775764,5.686747074127197,10000.0,873.152259349823,960.6559467315674,0.0
2100,1.0466756,6.509983,,,,,,,,,,,
2200,1.0690819,6.018894,,,,,,,,,,,
2300,0.7562308,6.0263114,,,,,,,,,,,
2400,0.88101923,6.253511,,,,,,,,,,,
2500,0.8707092,6.0344296,,,,,,,,,,,
2600,1.2712475,5.894147,,,,,,,,,,,
2700,0.91019577,5.8191476,,,,,,,,,,,
2800,0.8759042,5.772284,,,,,,,,,,,
2900,0.9212897,5.8657465,,,,,,,,,,,
3000,0.848011,6.380246,,,,,,,,,,,
3100,0.6519768,6.5880804,,,,,,,,,,,
3129,,,0.1175390630960464,4.88866138458252,0.1128599941730499,4.940011978149414,50000.0,0.0819000005722045,5.198060035705566,10000.0,1285.1165175437927,1404.1676564216614,0.0
3200,1.1569061,5.883987,,,,,,,,,,,
3300,0.76782626,6.590861,,,,,,,,,,,
3400,0.7660487,5.662165,,,,,,,,,,,
3500,0.89978135,5.6367645,,,,,,,,,,,
3600,0.95271415,5.657544,,,,,,,,,,,
3700,0.7985011,6.0014477,,,,,,,,,,,
3800,0.82953715,5.6552916,,,,,,,,,,,
3900,0.80160093,5.486353,,,,,,,,,,,
