global_step,grad_norm,loss,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,validation/num_examples,test/ctc_loss,test/wer,test/num_examples,score,total_duration,preemption_count
0,54.778385,32.198235,,,,,,,,,,,
1,,,31.45655,0.9792547321075318,30.542128,0.9453347355015485,5348.0,30.586128,0.9475961245506064,2472.0,62.57194757461548,62.772048234939575,0.0
100,1.8183707,6.293743,,,,,,,,,,,
200,0.5327676,5.8694963,,,,,,,,,,,
300,1.2211214,5.814056,,,,,,,,,,,
400,2.8982413,5.796506,,,,,,,,,,,
500,9.356208,5.87523,,,,,,,,,,,
600,0.41023993,5.8043404,,,,,,,,,,,
700,0.55701005,5.7812767,,,,,,,,,,,
800,1.3769741,5.774534,,,,,,,,,,,
900,2.705719,5.7645464,,,,,,,,,,,
1000,3.6065989,5.6756797,,,,,,,,,,,
1100,1.1776279,5.5941854,,,,,,,,,,,
1200,0.764882,5.436532,,,,,,,,,,,
1300,1.5612952,5.067339,,,,,,,,,,,
1400,0.9484562,4.2661104,,,,,,,,,,,
1500,2.2865303,3.9378564,,,,,,,,,,,
1600,1.449227,3.643372,,,,,,,,,,,
1700,1.0708405,3.4235039,,,,,,,,,,,
1800,1.2853348,3.297711,,,,,,,,,,,
1900,1.4875562,3.1626163,,,,,,,,,,,
2000,1.4180192,3.080047,,,,,,,,,,,
2100,0.9778436,2.950457,,,,,,,,,,,
2200,1.0570005,2.9006464,,,,,,,,,,,
2300,1.3089526,2.85948,,,,,,,,,,,
2400,1.6703485,2.810128,,,,,,,,,,,
2500,0.84193116,2.7055478,,,,,,,,,,,
2600,0.75568986,2.6362658,,,,,,,,,,,
2700,1.0650703,2.5803485,,,,,,,,,,,
2800,0.83723783,2.573364,,,,,,,,,,,
2900,1.2367913,2.4702325,,,,,,,,,,,
3000,0.878847,2.4737196,,,,,,,,,,,
3081,,,2.4590857,0.5374915037795308,2.8935754,0.5866916226881108,5348.0,2.5527766,0.5359413401580241,2472.0,2455.5502767562866,2571.0798716545105,0.0
3100,1.2602222,2.4528613,,,,,,,,,,,
3200,0.9011925,2.359688,,,,,,,,,,,
3300,0.81758505,2.3298657,,,,,,,,,,,
3400,1.235437,2.3126209,,,,,,,,,,,
3500,1.0940304,2.213852,,,,,,,,,,,
3600,0.8466804,2.2563682,,,,,,,,,,,
3700,0.7583494,2.2173197,,,,,,,,,,,
3800,0.8247519,2.1447668,,,,,,,,,,,
3900,0.83070093,2.1976566,,,,,,,,,,,
4000,0.7500347,2.1259549,,,,,,,,,,,
4100,0.8790242,2.0993347,,,,,,,,,,,
4200,0.7946193,2.0589397,,,,,,,,,,,
4300,0.7251066,2.0620236,,,,,,,,,,,
4400,0.7334537,2.0636168,,,,,,,,,,,
4500,0.75007796,1.9832319,,,,,,,,,,,
