global_step,grad_norm,loss,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,validation/num_examples,test/ctc_loss,test/wer,test/num_examples,score,total_duration,preemption_count
0,22.954414,32.51389,,,,,,,,,,,
1,,,31.82726,3.826244716073548,31.091131,3.489700817181063,5348.0,31.140835,3.7721446996932952,2472.0,56.45856046676636,56.66395258903504,0.0
100,4.6838174,7.821459,,,,,,,,,,,
200,1.5540045,6.2791142,,,,,,,,,,,
300,0.9050364,5.893717,,,,,,,,,,,
400,0.48890468,5.842035,,,,,,,,,,,
500,1.1163589,5.8060837,,,,,,,,,,,
600,0.49540573,5.715052,,,,,,,,,,,
700,0.75112975,5.603068,,,,,,,,,,,
800,1.6180533,5.5061603,,,,,,,,,,,
900,0.6407738,5.3919272,,,,,,,,,,,
1000,1.3331515,5.1353316,,,,,,,,,,,
1100,1.2288294,4.692412,,,,,,,,,,,
1200,1.9816904,4.383416,,,,,,,,,,,
1300,1.9398916,4.1122737,,,,,,,,,,,
1400,2.2698305,3.9113533,,,,,,,,,,,
1500,2.2717767,3.688814,,,,,,,,,,,
1600,1.5919037,3.5408762,,,,,,,,,,,
1700,2.2485702,3.497227,,,,,,,,,,,
1800,1.9084054,3.3109386,,,,,,,,,,,
1900,1.9553212,3.1851726,,,,,,,,,,,
2000,1.8752584,3.1337748,,,,,,,,,,,
2078,,,5.784349,0.9171644250375892,5.7499228,0.8776543912628197,5348.0,5.6213746,0.877561797981029,2472.0,2452.7433614730835,2627.3441269397736,0.0
2100,2.26869,3.0738785,,,,,,,,,,,
2200,3.157199,3.0112793,,,,,,,,,,,
2300,2.3916903,2.866856,,,,,,,,,,,
2400,2.2206638,2.8434024,,,,,,,,,,,
2500,2.9707594,2.7861748,,,,,,,,,,,
2600,3.1051042,2.734148,,,,,,,,,,,
2700,2.958343,2.6656163,,,,,,,,,,,
2800,2.4384265,2.622049,,,,,,,,,,,
2900,2.636042,2.6083665,,,,,,,,,,,
3000,3.595574,2.6023352,,,,,,,,,,,
3100,3.5373235,2.5243375,,,,,,,,,,,
3200,2.3541944,2.539399,,,,,,,,,,,
3300,2.478307,2.483423,,,,,,,,,,,
3400,2.9320936,2.4119742,,,,,,,,,,,
3500,2.8849673,2.3917878,,,,,,,,,,,
3600,2.2990692,2.309451,,,,,,,,,,,
3700,4.8870096,2.4012837,,,,,,,,,,,
3800,2.4257932,2.348448,,,,,,,,,,,
3900,2.3669748,2.3080013,,,,,,,,,,,
4000,3.1137798,2.3037326,,,,,,,,,,,
4100,2.683144,2.221104,,,,,,,,,,,
4178,,,1.5516946,0.4137016221399462,2.0053608,0.4713021833302781,5348.0,1.5424823,0.400970893506388,2472.0,4848.560869693756,5109.535431146622,0.0
4200,2.256718,2.2360783,,,,,,,,,,,
4300,2.8290625,2.226296,,,,,,,,,,,
4400,2.3227925,2.153847,,,,,,,,,,,
4500,2.560134,2.1944602,,,,,,,,,,,
4600,2.6776824,2.1969059,,,,,,,,,,,
4700,2.395347,2.2028677,,,,,,,,,,,
4800,2.4206288,2.0460315,,,,,,,,,,,
4900,3.2816978,2.1524096,,,,,,,,,,,
5000,2.3659937,2.1556153,,,,,,,,,,,
5100,2.2182446,2.0547335,,,,,,,,,,,
5200,2.780678,2.1220071,,,,,,,,,,,
5300,3.4064407,2.0689883,,,,,,,,,,,
5400,2.9139767,2.1151469,,,,,,,,,,,
5500,4.1218114,2.062326,,,,,,,,,,,
5600,2.1796923,2.057028,,,,,,,,,,,
5700,2.2817402,2.068662,,,,,,,,,,,
5800,2.8403249,2.0058901,,,,,,,,,,,
5900,2.9727988,2.007112,,,,,,,,,,,
6000,1.9996345,1.9656825,,,,,,,,,,,
6100,2.468713,2.0169325,,,,,,,,,,,
6200,2.366608,1.967555,,,,,,,,,,,
6285,,,0.7152029,0.245172920916552,1.1778822,0.3251164989531978,5348.0,0.80152214,0.2536916295980338,2472.0,7244.477825641632,7603.411529541016,0.0
6300,2.1939962,1.990534,,,,,,,,,,,
6400,2.5982325,2.0219302,,,,,,,,,,,
6500,2.3445427,2.0154886,,,,,,,,,,,
6600,2.5668404,1.8946027,,,,,,,,,,,
6700,3.8664205,1.9836107,,,,,,,,,,,
6800,2.6144662,1.9543327,,,,,,,,,,,
6900,7.725728,1.9351271,,,,,,,,,,,
7000,2.466202,1.9596949,,,,,,,,,,,
7100,3.2732792,1.9439279,,,,,,,,,,,
7200,3.2714634,1.9963791,,,,,,,,,,,
7300,3.4388711,1.9802977,,,,,,,,,,,
7400,2.408103,1.9366802,,,,,,,,,,,
7500,2.4722023,1.8789124,,,,,,,,,,,
7600,3.4003594,1.8939469,,,,,,,,,,,
7700,2.6191738,1.8672922,,,,,,,,,,,
7800,3.0517788,1.8750058,,,,,,,,,,,
7900,2.678153,1.9080201,,,,,,,,,,,
8000,,,0.5906045,0.1973839918734095,0.9744539,0.2718598346341981,5348.0,0.63128304,0.2033392236914264,2472.0,9209.302332878113,9668.866299629211,0.0
8000,,,,,,,,,,,9209.302332878113,,0.0
