global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,preemption_count
0,5.7286716,11.115378,,,,,,,,,,,,,,
1,,,0.0005655586719512,11.104360580444336,9.507455693595376e-11,0.0004835649742744,11.116703033447266,9.40460522687322e-10,3000.0,0.0007088489946909,11.122773170471191,4.812487968740233e-10,3003.0,32.7073495388031,32.919915199279785,0.0
100,0.24654979,8.575089,,,,,,,,,,,,,,
200,0.58114654,7.953495,,,,,,,,,,,,,,
300,0.63275594,7.547782,,,,,,,,,,,,,,
400,0.46772814,7.1839666,,,,,,,,,,,,,,
500,0.5757113,6.8867645,,,,,,,,,,,,,,
600,0.6732968,6.624074,,,,,,,,,,,,,,
700,0.58640873,6.3788257,,,,,,,,,,,,,,
800,0.5425356,6.1568604,,,,,,,,,,,,,,
900,0.5227152,6.007526,,,,,,,,,,,,,,
1000,0.38629717,5.9216757,,,,,,,,,,,,,,
1100,0.51217914,5.6645956,,,,,,,,,,,,,,
1200,0.63864106,5.491568,,,,,,,,,,,,,,
1300,0.8377968,5.4973702,,,,,,,,,,,,,,
1400,0.5699832,5.2804556,,,,,,,,,,,,,,
1500,0.57616,5.11148,,,,,,,,,,,,,,
1600,0.5919253,4.9187026,,,,,,,,,,,,,,
1700,0.6440789,4.778359,,,,,,,,,,,,,,
1800,0.036895107,7.5436697,,,,,,,,,,,,,,
1900,0.122518174,7.3266735,,,,,,,,,,,,,,
2000,0.25697216,7.023596,,,,,,,,,,,,,,
2100,0.16053548,6.7428,,,,,,,,,,,,,,
2200,0.23707215,6.593178,,,,,,,,,,,,,,
2300,0.26093215,6.440305,,,,,,,,,,,,,,
2325,,,0.184852734208107,5.746907234191895,0.0790542756797296,0.1674002856016159,5.932977199554443,0.0296023366147559,3000.0,0.1592353731393814,6.178826332092285,0.0376306499516861,3003.0,868.8418967723846,1799.6121189594269,0.0
2400,0.26940742,6.2916875,,,,,,,,,,,,,,
2500,0.28679168,6.1852417,,,,,,,,,,,,,,
2600,0.22055271,6.0302854,,,,,,,,,,,,,,
2700,0.23089088,6.2183394,,,,,,,,,,,,,,
2800,0.25369844,5.9647756,,,,,,,,,,,,,,
2900,0.30768508,5.91265,,,,,,,,,,,,,,
3000,2.4415302,6.512455,,,,,,,,,,,,,,
3100,0.1753913,5.842605,,,,,,,,,,,,,,
3200,0.19692673,5.723253,,,,,,,,,,,,,,
3300,0.33041176,5.75661,,,,,,,,,,,,,,
3400,0.22628255,5.7460165,,,,,,,,,,,,,,
3500,0.1854746,5.6391883,,,,,,,,,,,,,,
3600,0.19088517,5.580248,,,,,,,,,,,,,,
3700,0.19893861,5.546371,,,,,,,,,,,,,,
3800,0.25810638,5.5338764,,,,,,,,,,,,,,
3900,0.2569187,5.4959183,,,,,,,,,,,,,,
4000,0.21864769,5.441582,,,,,,,,,,,,,,
4100,0.22570263,5.3964124,,,,,,,,,,,,,,
4200,0.19980302,5.352583,,,,,,,,,,,,,,
4300,0.21627095,5.2946124,,,,,,,,,,,,,,
4400,0.23794904,5.278302,,,,,,,,,,,,,,
4500,0.20092796,5.193123,,,,,,,,,,,,,,
4600,0.2209243,5.182678,,,,,,,,,,,,,,
4653,,,0.321170449256897,4.341742038726807,3.566487865169901,0.2866796553134918,4.681982040405273,1.0695757339997194,3000.0,0.2659578323364258,4.943343639373779,0.798329278674083,3003.0,1705.145164489746,3068.924473285675,0.0
4700,0.2481268,5.1019435,,,,,,,,,,,,,,
4800,0.19384103,5.08419,,,,,,,,,,,,,,
4900,0.232956,4.949542,,,,,,,,,,,,,,
5000,0.2627479,4.8282948,,,,,,,,,,,,,,
5100,0.31561652,4.829618,,,,,,,,,,,,,,
5200,0.33879066,4.763626,,,,,,,,,,,,,,
5300,0.38477865,4.801228,,,,,,,,,,,,,,
5400,0.502103,4.8338904,,,,,,,,,,,,,,
5500,0.6330826,4.8520775,,,,,,,,,,,,,,
5600,1.5462985,4.8486905,,,,,,,,,,,,,,
5700,0.93610376,4.868155,,,,,,,,,,,,,,
5800,0.9281691,4.784499,,,,,,,,,,,,,,
5900,1.6088,4.8763237,,,,,,,,,,,,,,
6000,1.4845526,4.885758,,,,,,,,,,,,,,
6100,1.8263831,4.9802823,,,,,,,,,,,,,,
6200,1.86811,4.8975377,,,,,,,,,,,,,,
6300,2.3876185,4.8790364,,,,,,,,,,,,,,
6400,3.7864475,4.878023,,,,,,,,,,,,,,
6500,6.1562805,4.8469615,,,,,,,,,,,,,,
