global_step,grad_norm,loss,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,preemption_count
0,4.538038,0.92106175,,,,,,,,,,,
1,,,0.2459038836615426,0.9328910963875908,0.2416055880038337,0.9338681849456598,3554.0,0.2645924133283737,0.9335743878281206,3581.0,65.23693180084229,65.36385774612427,0.0
100,0.098125674,0.26349467,,,,,,,,,,,
200,0.17976324,0.32887092,,,,,,,,,,,
300,0.46867377,0.33550522,,,,,,,,,,,
334,,,0.7035976818629673,0.3052085127149309,0.6860466969435847,0.3228306381234173,3554.0,0.7026437409461394,0.3247632429074455,3581.0,145.0465133190155,358.3555254936218,0.0
400,0.4246678,0.32756191,,,,,,,,,,,
500,0.6789318,0.2786318,,,,,,,,,,,
572,,,0.7115811620439801,0.2946078096117292,0.69358160204611,0.3116679022536227,3554.0,0.7111869584046007,0.3132861450842991,3581.0,225.1129331588745,443.5526592731476,0.0
600,0.28007683,0.3156842,,,,,,,,,,,
700,0.26946816,0.22371367,,,,,,,,,,,
800,0.5983368,0.31414425,,,,,,,,,,,
807,,,0.7149808747427804,0.3041552816118513,0.694739930470069,0.3222182944173818,3554.0,0.711976375968654,0.3242083871474448,3581.0,305.0076539516449,528.0934743881226,0.0
900,0.41077587,0.27583542,,,,,,,,,,,
1000,0.3104333,0.21051438,,,,,,,,,,,
1078,,,0.7199291501726423,0.2919298921312604,0.6997882969673256,0.3104094514433561,3554.0,0.7164010413030578,0.3126144345264067,3581.0,384.8917179107666,615.8649044036865,0.0
1100,0.33942518,0.26586166,,,,,,,,,,,
1200,0.48687392,0.2386148,,,,,,,,,,,
1300,0.1623795,0.29662272,,,,,,,,,,,
1400,0.15346219,0.2415131,,,,,,,,,,,
1427,,,0.7277263913835798,0.2853554827826364,0.7074498749208639,0.3031959340487831,3554.0,0.7245419482817299,0.3050442002932141,3581.0,464.7056977748871,700.349794626236,0.0
1500,0.28666484,0.26538604,,,,,,,,,,,
1600,0.26044708,0.23978367,,,,,,,,,,,
1700,0.28623012,0.37069803,,,,,,,,,,,
1777,,,0.7308136395045689,0.2813986369541713,0.7099982386703363,0.2996263563062746,3554.0,0.7269821955284836,0.3014282806064123,3581.0,544.3818626403809,784.6813917160034,0.0
1800,0.31177092,0.25852963,,,,,,,,,,,
1900,0.116818115,0.27893662,,,,,,,,,,,
2000,0.20166577,0.30139706,,,,,,,,,,,
2100,0.16707042,0.34211054,,,,,,,,,,,
2126,,,0.7338766370500837,0.2768918786730085,0.7122900967659679,0.2953258679700689,3554.0,0.7295594096882854,0.2971182884167306,3581.0,624.0471715927124,869.0017983913422,0.0
2200,0.108521014,0.28762484,,,,,,,,,,,
2300,0.07355466,0.24560411,,,,,,,,,,,
2400,0.13047405,0.22978099,,,,,,,,,,,
2478,,,0.7349938665117536,0.2752541644232614,0.7130192899945484,0.29413885954866,3554.0,0.7302718558014522,0.295804967297019,3581.0,703.8937578201294,953.4922301769255,0.0
2500,0.103316195,0.26315397,,,,,,,,,,,
2600,0.11687311,0.2994845,,,,,,,,,,,
2700,0.17020403,0.31572798,,,,,,,,,,,
2714,,,0.7309953144618443,0.2772832427706037,0.7116662123663478,0.2950559668683173,3554.0,0.7284159507208182,0.2966593231311959,3581.0,756.5895299911499,1010.7477250099182,0.0
2714,,,,,,,,,,,756.5895299911499,,0.0
