global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,preemption_count
0,0.5472348,6.925157,,,,,,,,,,,
1,,,0.0007971938466653,6.913003444671631,0.0005200000014156,6.912536144256592,50000.0,0.0010000000474974,6.912220001220703,10000.0,42.771700620651245,42.85549736022949,0.0
100,0.52098435,6.887862,,,,,,,,,,,
200,0.56693983,6.803711,,,,,,,,,,,
300,0.6244212,6.671831,,,,,,,,,,,
400,0.6439003,6.6235466,,,,,,,,,,,
500,0.6650293,6.5653887,,,,,,,,,,,
600,0.6744101,6.4425626,,,,,,,,,,,
700,0.7186532,6.4252286,,,,,,,,,,,
800,0.66387755,6.3810954,,,,,,,,,,,
900,1.1910038,6.3169837,,,,,,,,,,,
1000,0.76416653,6.2578487,,,,,,,,,,,
1100,0.78005224,6.200497,,,,,,,,,,,
1200,0.7565798,6.1613092,,,,,,,,,,,
1300,1.1050254,6.119913,,,,,,,,,,,
1400,0.8859058,6.1063566,,,,,,,,,,,
1500,0.9455509,6.032428,,,,,,,,,,,
1512,,,0.0681600719690322,5.464817523956299,0.062959998846054,5.546486854553223,50000.0,0.0474000014364719,5.776136875152588,10000.0,547.7321665287018,592.6819362640381,0.0
1600,0.8199349,5.957609,,,,,,,,,,,
1700,0.81953806,5.9582305,,,,,,,,,,,
1800,0.84549516,5.92749,,,,,,,,,,,
1900,0.87290096,5.8381343,,,,,,,,,,,
2000,0.88935906,5.7412357,,,,,,,,,,,
2100,1.128305,5.6543145,,,,,,,,,,,
2200,0.81520295,5.6557446,,,,,,,,,,,
2300,0.92308736,5.5550137,,,,,,,,,,,
2400,0.82203966,5.5200987,,,,,,,,,,,
2500,0.9687854,5.4880877,,,,,,,,,,,
2600,0.91613567,5.3941455,,,,,,,,,,,
2700,0.9154208,5.4107485,,,,,,,,,,,
2800,0.999717,5.3513374,,,,,,,,,,,
2900,0.8106765,5.2432685,,,,,,,,,,,
3000,0.83186066,5.18499,,,,,,,,,,,
