global_step,grad_norm,loss,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,validation/num_examples,test/ctc_loss,test/wer,test/num_examples,score,total_duration,preemption_count
0,45.90096,32.03889,,,,,,,,,,,
1,,,31.411068,0.9518199612685588,30.424536,0.9717508128394872,5348.0,30.636398,0.9788353340239272,2472.0,59.61101150512695,59.80976057052612,0.0
100,11.157036,6.1341186,,,,,,,,,,,
200,27.86487,37.48087,,,,,,,,,,,
300,0.0,1757.1436,,,,,,,,,,,
400,0.0,1818.6858,,,,,,,,,,,
500,0.0,1767.0894,,,,,,,,,,,
600,0.0,1862.347,,,,,,,,,,,
700,0.0,1792.7047,,,,,,,,,,,
800,0.0,1807.2589,,,,,,,,,,,
900,0.0,1807.7693,,,,,,,,,,,
1000,0.0,1796.2266,,,,,,,,,,,
1100,0.0,1792.8302,,,,,,,,,,,
1200,0.0,1877.9213,,,,,,,,,,,
1300,0.0,1840.2576,,,,,,,,,,,
1400,0.0,1752.4523,,,,,,,,,,,
1500,0.0,1864.789,,,,,,,,,,,
1600,0.0,1860.3169,,,,,,,,,,,
1700,0.0,1766.4796,,,,,,,,,,,
1800,0.0,1845.4312,,,,,,,,,,,
1900,0.0,1817.1367,,,,,,,,,,,
2000,0.0,1827.7755,,,,,,,,,,,
2100,0.0,1811.2227,,,,,,,,,,,
2200,0.0,1859.5061,,,,,,,,,,,
2300,0.0,1839.5963,,,,,,,,,,,
2400,0.0,1879.2998,,,,,,,,,,,
2500,0.0,1829.0813,,,,,,,,,,,
2600,0.0,1782.3451,,,,,,,,,,,
2700,0.0,1790.9489,,,,,,,,,,,
2800,0.0,1795.9746,,,,,,,,,,,
2900,0.0,1818.04,,,,,,,,,,,
2957,,,1767.6815,0.944635537887994,3357.9224,0.8959951374349969,5348.0,3189.8608,0.899579550301627,2472.0,2454.4530730247498,2568.702260017395,0.0
3000,0.0,1858.1565,,,,,,,,,,,
3100,0.0,1838.6715,,,,,,,,,,,
3200,0.0,1840.2576,,,,,,,,,,,
3300,0.0,1843.0397,,,,,,,,,,,
3400,0.0,1824.6488,,,,,,,,,,,
3500,0.0,1877.7834,,,,,,,,,,,
3600,0.0,1810.5823,,,,,,,,,,,
3700,0.0,1882.8937,,,,,,,,,,,
3800,0.0,1821.2736,,,,,,,,,,,
3900,0.0,1782.3451,,,,,,,,,,,
4000,0.0,1819.3322,,,,,,,,,,,
4100,0.0,1825.5597,,,,,,,,,,,
4200,0.0,1815.4614,,,,,,,,,,,
4300,0.0,1879.4377,,,,,,,,,,,
4400,0.0,1867.6459,,,,,,,,,,,
4500,0.0,1841.5814,,,,,,,,,,,
4600,0.0,1873.9347,,,,,,,,,,,
4700,0.0,1860.8579,,,,,,,,,,,
4800,0.0,1817.6528,,,,,,,,,,,
4900,0.0,1732.879,,,,,,,,,,,
5000,0.0,1847.6956,,,,,,,,,,,
5100,0.0,1757.1436,,,,,,,,,,,
5200,0.0,1834.718,,,,,,,,,,,
5300,0.0,1776.7783,,,,,,,,,,,
5400,0.0,1863.0247,,,,,,,,,,,
5500,0.0,1861.3992,,,,,,,,,,,
5600,0.0,1869.0095,,,,,,,,,,,
5700,0.0,1802.9313,,,,,,,,,,,
5800,0.0,1800.6487,,,,,,,,,,,
5900,0.0,1764.4098,,,,,,,,,,,
5956,,,1761.5707,0.9427216791412514,3357.9224,0.8959951374349969,5348.0,3189.8608,0.899579550301627,2472.0,4849.685252666473,5054.578206062317,0.0
6000,0.0,1852.7772,,,,,,,,,,,
6100,0.0,1806.1113,,,,,,,,,,,
6200,0.0,1838.4073,,,,,,,,,,,
6300,0.0,1840.9193,,,,,,,,,,,
6400,0.0,1857.3478,,,,,,,,,,,
6500,0.0,1822.9596,,,,,,,,,,,
