global_step,grad_norm,loss,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,validation/num_examples,test/ctc_loss,test/wer,test/num_examples,score,total_duration,preemption_count
0,26.418175,32.545937,,,,,,,,,,,
1,,,31.782244,3.642733690106824,30.717455,3.342038996999489,5348.0,30.91936,3.3901448215627727,2472.0,54.80087113380432,55.005539894104,0.0
100,7.0371084,6.0611157,,,,,,,,,,,
200,6.9314322,5.991643,,,,,,,,,,,
300,7.326359,6.1355906,,,,,,,,,,,
400,3.231212,5.9526463,,,,,,,,,,,
500,3.3564103,5.9366817,,,,,,,,,,,
600,0.3017879,5.7428803,,,,,,,,,,,
700,2.6044137,5.6607404,,,,,,,,,,,
800,0.87550217,5.419949,,,,,,,,,,,
900,1.0917121,5.032167,,,,,,,,,,,
1000,0.79932296,4.5986576,,,,,,,,,,,
1100,1.7152681,4.3079686,,,,,,,,,,,
1200,0.9842579,4.0472674,,,,,,,,,,,
1300,1.067975,3.8095944,,,,,,,,,,,
1400,1.2844858,3.6858802,,,,,,,,,,,
1500,0.9574275,3.5401845,,,,,,,,,,,
1600,1.0689844,3.42929,,,,,,,,,,,
1700,1.1497349,3.3877292,,,,,,,,,,,
1800,1.048587,3.225008,,,,,,,,,,,
1900,0.80027694,3.164537,,,,,,,,,,,
2000,1.2981454,3.1384113,,,,,,,,,,,
2074,,,5.5533066,0.9365203600337788,5.8372793,0.8932454727011355,5348.0,5.5533276,0.8937095037881096,2472.0,2451.955156803131,2628.747246026993,0.0
2100,0.8853533,3.0654445,,,,,,,,,,,
2200,0.9878693,2.9760811,,,,,,,,,,,
2300,1.0947618,2.9457335,,,,,,,,,,,
2400,0.99018157,2.874066,,,,,,,,,,,
2500,0.9422868,2.858235,,,,,,,,,,,
2600,0.86022264,2.7615685,,,,,,,,,,,
2700,0.9020987,2.8135772,,,,,,,,,,,
2800,1.5545858,2.8016124,,,,,,,,,,,
2900,0.8694014,2.7039514,,,,,,,,,,,
3000,0.96807086,2.7410183,,,,,,,,,,,
3100,1.2671161,2.7223232,,,,,,,,,,,
3200,0.8667527,2.6769032,,,,,,,,,,,
3300,0.84768766,2.618845,,,,,,,,,,,
3400,1.168177,2.6887124,,,,,,,,,,,
3500,0.8388317,2.6718915,,,,,,,,,,,
3600,1.1998976,2.6528294,,,,,,,,,,,
3700,0.9226005,2.5976012,,,,,,,,,,,
3800,1.2732466,2.6229649,,,,,,,,,,,
3900,0.9864724,2.590376,,,,,,,,,,,
4000,2.054971,2.6089942,,,,,,,,,,,
4100,0.0,1848.3625,,,,,,,,,,,
4156,,,1761.5707,0.9427216791412514,3357.9224,0.8959951374349969,5348.0,3189.8608,0.899579550301627,2472.0,4848.511173725128,5113.224091291428,0.0
4200,0.0,1855.194,,,,,,,,,,,
4300,0.0,1806.6212,,,,,,,,,,,
4400,0.0,1841.4489,,,,,,,,,,,
4500,0.0,1832.3544,,,,,,,,,,,
4600,0.0,1838.0114,,,,,,,,,,,
4700,0.0,1783.8354,,,,,,,,,,,
4800,0.0,1853.3136,,,,,,,,,,,
4900,0.0,1800.6487,,,,,,,,,,,
5000,0.0,1807.1313,,,,,,,,,,,
5100,0.0,1801.916,,,,,,,,,,,
5200,0.0,1809.8143,,,,,,,,,,,
5300,0.0,1803.0583,,,,,,,,,,,
5400,0.0,1793.8353,,,,,,,,,,,
5500,0.0,1786.6989,,,,,,,,,,,
5600,0.0,1795.0931,,,,,,,,,,,
5700,0.0,1865.1965,,,,,,,,,,,
5800,0.0,1807.6417,,,,,,,,,,,
5900,0.0,1836.0339,,,,,,,,,,,
6000,0.0,1787.3226,,,,,,,,,,,
6100,0.0,1900.9298,,,,,,,,,,,
6200,0.0,1894.7394,,,,,,,,,,,
6254,,,1741.298,0.9433243196230056,3357.9224,0.8959951374349969,5348.0,3189.8608,0.899579550301627,2472.0,7245.898451328278,7595.955518245697,0.0
6300,0.0,1830.52,,,,,,,,,,,
6400,0.0,1829.2122,,,,,,,,,,,
6500,0.0,1780.9811,,,,,,,,,,,
6600,0.0,1795.8486,,,,,,,,,,,
6700,0.0,1823.4791,,,,,,,,,,,
6800,0.0,1815.204,,,,,,,,,,,
6900,0.0,1756.6611,,,,,,,,,,,
7000,0.0,1796.2266,,,,,,,,,,,
7100,0.0,1833.5355,,,,,,,,,,,
7200,0.0,1836.4291,,,,,,,,,,,
7300,0.0,1783.3385,,,,,,,,,,,
7400,0.0,1827.7755,,,,,,,,,,,
7500,0.0,1777.3951,,,,,,,,,,,
7600,0.0,1817.5237,,,,,,,,,,,
7700,0.0,1829.4734,,,,,,,,,,,
7800,0.0,1723.4294,,,,,,,,,,,
7900,0.0,1777.7655,,,,,,,,,,,
8000,,,1724.8613,0.9437003215030004,3357.9224,0.8959951374349969,5348.0,3189.8608,0.899579550301627,2472.0,9240.096396446228,9675.573135137558,0.0
8000,,,,,,,,,,,9240.096396446228,,0.0
