global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,preemption_count
0,3.0788276,0.6643843,,,,,,,,,,,,,,
1,,,0.5932507514953613,0.6651369333267212,0.0207845889571919,0.5885758399963379,0.6738957762718201,0.0247081119143589,43793.0,0.5855077505111694,0.6777306199073792,0.0261349003410099,43793.0,17.738333225250244,17.811136960983276,0.0
100,0.065084405,0.08566757,,,,,,,,,,,,,,
200,0.01763,0.06282206,,,,,,,,,,,,,,
300,0.010200281,0.050130595,,,,,,,,,,,,,,
400,0.011327106,0.054774005,,,,,,,,,,,,,,
500,0.011536193,0.054492828,,,,,,,,,,,,,,
600,0.013017482,0.051980082,,,,,,,,,,,,,,
700,0.011741681,0.051705714,,,,,,,,,,,,,,
800,0.024274442,0.052452058,,,,,,,,,,,,,,
900,0.027492313,0.05588671,,,,,,,,,,,,,,
1000,0.035681896,0.050177157,,,,,,,,,,,,,,
1061,,,0.9866985082626344,0.0549644790589809,0.0344206323798487,0.9841179251670836,0.0649700462818145,0.0376597056909636,43793.0,0.983142077922821,0.0683794766664505,0.03942628861632,43793.0,256.7946960926056,470.9805498123169,0.0
1100,0.05441818,0.057764772,,,,,,,,,,,,,,
1200,0.023065686,0.055392995,,,,,,,,,,,,,,
1300,0.019152107,0.05595104,,,,,,,,,,,,,,
1400,0.026722765,0.05813804,,,,,,,,,,,,,,
1500,0.045065288,0.061819874,,,,,,,,,,,,,,
1600,0.06446779,0.051774703,,,,,,,,,,,,,,
1700,0.089654595,0.05451244,,,,,,,,,,,,,,
1800,0.042556956,0.05715171,,,,,,,,,,,,,,
1900,0.025202634,0.051293116,,,,,,,,,,,,,,
2000,0.04495235,0.055541486,,,,,,,,,,,,,,
2100,0.019508755,0.05535901,,,,,,,,,,,,,,
2115,,,0.9866834878921508,0.0520609095692634,0.0530944775394645,0.9841203689575196,0.061554554849863,0.0514284054719281,43793.0,0.983142077922821,0.0647890418767929,0.0539291377692414,43793.0,496.003849029541,787.9307615756989,0.0
2200,0.032990813,0.049143504,,,,,,,,,,,,,,
2300,0.072857946,0.053628825,,,,,,,,,,,,,,
2400,0.058932677,0.052932814,,,,,,,,,,,,,,
2500,0.06377187,0.04732998,,,,,,,,,,,,,,
2600,0.06839589,0.051666725,,,,,,,,,,,,,,
2700,0.046758067,0.050058547,,,,,,,,,,,,,,
2800,0.060278755,0.049565423,,,,,,,,,,,,,,
2900,0.048686847,0.053233948,,,,,,,,,,,,,,
3000,0.08120109,0.05241878,,,,,,,,,,,,,,
3100,0.060882434,0.04860809,,,,,,,,,,,,,,
3184,,,0.9870291352272034,0.0493827387690544,0.0811705670144207,0.9842222332954408,0.0601861737668514,0.0779712930801115,43793.0,0.98325914144516,0.0636085718870163,0.0805121432235499,43793.0,735.1760356426239,1104.9168541431427,0.0
3200,0.03479657,0.05486189,,,,,,,,,,,,,,
3300,0.043593608,0.05284296,,,,,,,,,,,,,,
3400,0.032499786,0.04978381,,,,,,,,,,,,,,
3500,0.13429938,0.04879315,,,,,,,,,,,,,,
3600,0.05346551,0.048666764,,,,,,,,,,,,,,
3700,0.044873953,0.049899317,,,,,,,,,,,,,,
3800,0.04996456,0.04388322,,,,,,,,,,,,,,
3900,0.06008551,0.047710553,,,,,,,,,,,,,,
4000,0.06742734,0.04863041,,,,,,,,,,,,,,
4100,0.041881833,0.052314065,,,,,,,,,,,,,,
4200,0.07324039,0.047097687,,,,,,,,,,,,,,
4250,,,0.9871639609336852,0.046567253768444,0.1093129742691127,0.9844974875450134,0.0553312860429286,0.1077324527457038,43793.0,0.9835240840911864,0.0582041852176189,0.1096719425189845,43793.0,974.2184119224548,1422.793499469757,0.0
4300,0.05507386,0.054133955,,,,,,,,,,,,,,
4400,0.04782556,0.048481714,,,,,,,,,,,,,,
4500,0.055856626,0.04702243,,,,,,,,,,,,,,
4600,0.037534483,0.04553068,,,,,,,,,,,,,,
4700,0.037866365,0.048678935,,,,,,,,,,,,,,
4800,0.06200746,0.05053572,,,,,,,,,,,,,,
4900,0.059952155,0.04651707,,,,,,,,,,,,,,
5000,0.05208168,0.039958484,,,,,,,,,,,,,,
5100,0.06349598,0.056886125,,,,,,,,,,,,,,
5200,0.047893338,0.049241856,,,,,,,,,,,,,,
5300,0.03959606,0.04642023,,,,,,,,,,,,,,
5329,,,0.9872983694076538,0.0449337512254715,0.1385260420147117,0.9846314787864684,0.0543245524168014,0.1298903110134809,43793.0,0.9836058020591736,0.0573537126183509,0.1302033938134869,43793.0,1213.3498969078064,1740.3039376735687,0.0
5400,0.04889272,0.04755551,,,,,,,,,,,,,,
5500,0.02992574,0.041171506,,,,,,,,,,,,,,
5600,0.066998355,0.044548962,,,,,,,,,,,,,,
5700,0.08084584,0.050256833,,,,,,,,,,,,,,
5800,0.02717733,0.04766873,,,,,,,,,,,,,,
5900,0.057591524,0.046256393,,,,,,,,,,,,,,
6000,,,0.9873517751693726,0.0447123348712921,0.1375408880078207,0.9847784042358398,0.0537680424749851,0.1271603885178295,43793.0,0.9838239550590516,0.0566870048642158,0.1338709832306515,43793.0,1363.1084716320038,1967.249220132828,0.0
6000,,,,,,,,,,,,,,1363.1084716320038,,0.0
