global_step,grad_norm,loss,train/loss,validation/loss,validation/num_examples,test/loss,test/num_examples,score,total_duration,preemption_count
0,5.219003,0.65453017,,,,,,,,
1,,,0.6544113103039919,0.6567152359550562,89000000.0,0.6554701084922921,89274637.0,164.54812145233154,164.74279856681824,0.0
100,0.032459985,0.13038446,,,,,,,,
200,0.015967704,0.12792529,,,,,,,,
300,0.021777455,0.1289055,,,,,,,,
400,0.048552223,0.12787127,,,,,,,,
493,,,0.1252081999452435,0.1267129325842696,89000000.0,0.1291766215750616,89274637.0,703.2482173442841,1881.38543009758,0.0
500,0.0141870985,0.12748836,,,,,,,,
600,0.022852104,0.124843016,,,,,,,,
700,0.015608465,0.12514861,,,,,,,,
800,,,0.1255875700444663,0.1265974831460674,89000000.0,0.1291100405146424,89274637.0,1052.4626715183258,3458.198306322098,0.0
800,,,,,,,,1052.4626715183258,,0.0
