global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,preemption_count
0,3.0385234,0.76801175,,,,,,,,,,,,,,
1,,,0.5222074389457703,0.7682572603225708,0.024919972309053,0.5291063189506531,0.7628283500671387,0.0285284937731709,43793.0,0.5308337211608887,0.7617497444152832,0.0298462510089149,43793.0,19.430513381958008,19.5058069229126,0.0
100,0.40971112,0.3630216,,,,,,,,,,,,,,
200,0.22607344,0.20381257,,,,,,,,,,,,,,
300,0.0988027,0.10861154,,,,,,,,,,,,,,
400,0.05764489,0.071996614,,,,,,,,,,,,,,
500,0.119442,0.06057132,,,,,,,,,,,,,,
600,0.053599052,0.054205127,,,,,,,,,,,,,,
700,0.09919176,0.053263426,,,,,,,,,,,,,,
800,0.08234752,0.056463502,,,,,,,,,,,,,,
900,0.06657401,0.05711658,,,,,,,,,,,,,,
1000,0.07029299,0.0476591,,,,,,,,,,,,,,
1072,,,0.9869810342788696,0.0485101491212844,0.0854579107555835,0.9843822121620178,0.0572871044278144,0.090472792130037,43793.0,0.9833863377571106,0.0606658495962619,0.0860214198433996,43793.0,258.55812311172485,475.9919245243073,0.0
1100,0.04231229,0.05037853,,,,,,,,,,,,,,
1200,0.048683114,0.044060986,,,,,,,,,,,,,,
1300,0.034642167,0.050393805,,,,,,,,,,,,,,
1400,0.034343053,0.04139269,,,,,,,,,,,,,,
1500,0.0685869,0.04885615,,,,,,,,,,,,,,
1600,0.06334146,0.046863608,,,,,,,,,,,,,,
1700,0.04724712,0.051255904,,,,,,,,,,,,,,
1800,0.106901966,0.046810124,,,,,,,,,,,,,,
1900,0.086329855,0.04322454,,,,,,,,,,,,,,
2000,0.04445892,0.04235371,,,,,,,,,,,,,,
2100,0.038082648,0.048473164,,,,,,,,,,,,,,
2145,,,0.9879341721534728,0.0432853251695632,0.1591062852751535,0.9850232005119324,0.0529902130365371,0.149408827804613,43793.0,0.984079658985138,0.0558174364268779,0.1529298807316038,43793.0,497.4238519668579,793.3098704814911,0.0
2200,0.033572935,0.045673624,,,,,,,,,,,,,,
2300,0.034150608,0.04448897,,,,,,,,,,,,,,
2400,0.043881766,0.043262236,,,,,,,,,,,,,,
2500,0.05599179,0.04421228,,,,,,,,,,,,,,
2600,0.020482028,0.043056455,,,,,,,,,,,,,,
2700,0.076850735,0.04317595,,,,,,,,,,,,,,
2800,0.038146023,0.039385013,,,,,,,,,,,,,,
2900,0.024150157,0.047430124,,,,,,,,,,,,,,
3000,0.03700685,0.049988084,,,,,,,,,,,,,,
3100,0.025252441,0.04381882,,,,,,,,,,,,,,
3200,0.027435854,0.046998233,,,,,,,,,,,,,,
3214,,,0.9884986877441406,0.0398996919393539,0.2032254092631307,0.9855090975761414,0.0493957288563251,0.1775411058690885,43793.0,0.9846318364143372,0.0521496497094631,0.1724099888458276,43793.0,736.4702293872833,1111.1718878746033,0.0
3300,0.032073557,0.04054531,,,,,,,,,,,,,,
3400,0.04823865,0.041206352,,,,,,,,,,,,,,
3500,0.028856771,0.04036076,,,,,,,,,,,,,,
3600,0.033448912,0.04258877,,,,,,,,,,,,,,
3700,0.025066132,0.040519785,,,,,,,,,,,,,,
3800,0.0913824,0.04181257,,,,,,,,,,,,,,
3900,0.03000258,0.04175203,,,,,,,,,,,,,,
4000,0.030718092,0.044623747,,,,,,,,,,,,,,
4100,0.029744383,0.039123617,,,,,,,,,,,,,,
4200,0.029104674,0.038094237,,,,,,,,,,,,,,
4278,,,0.9888212084770204,0.0387603193521499,0.2242887584393234,0.9857092499732972,0.0484995022416114,0.1860668017378859,43793.0,0.9847859740257264,0.0511760972440242,0.185627209634387,43793.0,975.5438244342804,1429.6217875480652,0.0
4300,0.014897611,0.037120372,,,,,,,,,,,,,,
4400,0.020103835,0.039208785,,,,,,,,,,,,,,
4500,0.03644915,0.042231448,,,,,,,,,,,,,,
4600,0.021549039,0.041587718,,,,,,,,,,,,,,
4700,0.02154139,0.04647442,,,,,,,,,,,,,,
4800,0.014887079,0.043124165,,,,,,,,,,,,,,
4900,0.015696831,0.03433497,,,,,,,,,,,,,,
5000,0.022359833,0.037355997,,,,,,,,,,,,,,
5100,0.014364802,0.03915338,,,,,,,,,,,,,,
5200,0.013581208,0.040311694,,,,,,,,,,,,,,
5300,0.013324631,0.04115147,,,,,,,,,,,,,,
5345,,,0.9889538884162904,0.0374986007809639,0.2620843687596368,0.98591947555542,0.0472285114228725,0.217743872754471,43793.0,0.985050082206726,0.0499002113938331,0.2189305430815729,43793.0,1214.4876327514648,1747.1095297336578,0.0
5400,0.021377979,0.0415225,,,,,,,,,,,,,,
5500,0.022072757,0.0399816,,,,,,,,,,,,,,
5600,0.03332741,0.041732088,,,,,,,,,,,,,,
5700,0.019334506,0.03862254,,,,,,,,,,,,,,
5800,0.010771738,0.040462375,,,,,,,,,,,,,,
5900,0.01548661,0.042304464,,,,,,,,,,,,,,
6000,,,0.9891172647476196,0.036659400910139,0.2834327730246339,0.986320972442627,0.0463953800499439,0.2200300329230741,43793.0,0.9854232668876648,0.0490585230290889,0.2218853770889348,43793.0,1361.466839313507,1973.2321808338163,0.0
6000,,,,,,,,,,,,,,1361.466839313507,,0.0
