global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,preemption_count
0,0.537528,6.9311113,,,,,,,,,,,
1,,,0.0008769132546149,6.911643505096436,0.0009999999310821,6.911725044250488,50000.0,0.0010000000474974,6.911470413208008,10000.0,40.49238085746765,40.57250905036926,0.0
100,0.5323126,6.8844213,,,,,,,,,,,
200,0.57960486,6.80619,,,,,,,,,,,
300,0.6000556,6.682339,,,,,,,,,,,
400,0.6484901,6.605627,,,,,,,,,,,
500,0.65998465,6.5583005,,,,,,,,,,,
600,0.67919695,6.4874177,,,,,,,,,,,
700,0.8088251,6.4240885,,,,,,,,,,,
800,1.1673944,6.356531,,,,,,,,,,,
900,0.67400426,6.305477,,,,,,,,,,,
1000,0.88719475,6.2850876,,,,,,,,,,,
1100,0.71932596,6.2196274,,,,,,,,,,,
1200,0.89623106,6.1352973,,,,,,,,,,,
1300,0.86269426,6.075954,,,,,,,,,,,
1400,1.0007654,6.048643,,,,,,,,,,,
1500,0.81463224,6.047664,,,,,,,,,,,
1522,,,0.0746173486113548,5.383938312530518,0.0668799951672554,5.478958606719971,50000.0,0.0466000027954578,5.722619533538818,10000.0,545.4166548252106,590.7003104686737,0.0
1600,1.1245558,5.9239225,,,,,,,,,,,
1700,0.9088106,5.84772,,,,,,,,,,,
1800,0.98944646,5.773728,,,,,,,,,,,
1900,1.0617807,5.6664643,,,,,,,,,,,
2000,1.0339969,5.7192903,,,,,,,,,,,
2100,0.8576007,5.5800037,,,,,,,,,,,
2200,0.9891431,5.5582743,,,,,,,,,,,
2300,1.010583,5.542818,,,,,,,,,,,
2400,1.1422286,5.4878683,,,,,,,,,,,
2500,0.9638346,5.395476,,,,,,,,,,,
2600,1.0154071,5.3742943,,,,,,,,,,,
2700,0.9782549,5.329476,,,,,,,,,,,
2800,0.96756524,5.332922,,,,,,,,,,,
2900,1.0512124,5.253242,,,,,,,,,,,
3000,0.99012053,5.097671,,,,,,,,,,,
3039,,,0.2208625525236129,3.9800126552581774,0.2017199993133545,4.090201377868652,50000.0,0.1526000052690506,4.546509265899658,10000.0,1050.711079120636,1118.5464537143707,0.0
3100,0.9543221,5.0494776,,,,,,,,,,,
3200,0.9852089,5.126309,,,,,,,,,,,
3300,0.9280753,4.8925915,,,,,,,,,,,
3400,0.95696425,4.8851476,,,,,,,,,,,
3500,0.9492235,4.8663363,,,,,,,,,,,
3600,0.94251865,4.7881727,,,,,,,,,,,
3700,0.9518107,4.825478,,,,,,,,,,,
3800,0.9549688,4.798381,,,,,,,,,,,
3900,0.8684274,4.7711587,,,,,,,,,,,
4000,0.9552045,4.754944,,,,,,,,,,,
4100,0.8627738,4.6670847,,,,,,,,,,,
4200,0.8964563,4.6834893,,,,,,,,,,,
4300,0.8530784,4.5933013,,,,,,,,,,,
4400,0.89065033,4.524124,,,,,,,,,,,
4500,0.8087198,4.5925913,,,,,,,,,,,
4563,,,0.353236585855484,3.19425106048584,0.3263599872589111,3.337337017059326,50000.0,0.240100011229515,3.9157752990722656,10000.0,1555.571129322052,1645.9436101913452,0.0
4600,0.8071327,4.5439415,,,,,,,,,,,
4700,0.81467015,4.4262905,,,,,,,,,,,
4800,0.7610463,4.3910546,,,,,,,,,,,
4900,0.753911,4.4492908,,,,,,,,,,,
5000,0.76872104,4.4166913,,,,,,,,,,,
5100,0.7541836,4.353017,,,,,,,,,,,
5200,0.75444233,4.3847246,,,,,,,,,,,
5300,0.79424596,4.342441,,,,,,,,,,,
5400,0.8118647,4.3370132,,,,,,,,,,,
5500,0.7641775,4.3109264,,,,,,,,,,,
5600,0.70536745,4.2708144,,,,,,,,,,,
5700,0.73003805,4.2823067,,,,,,,,,,,
5800,0.7562061,4.218194,,,,,,,,,,,
5900,0.7408084,4.220281,,,,,,,,,,,
6000,0.73205954,4.250524,,,,,,,,,,,
