global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,preemption_count
0,0.2750363,6.9077563,,,,,,,,,,,
1,,,0.0009765625,6.907756328582764,0.0009999999310821,6.9077558517456055,50000.0,0.0010000000474974,6.907756805419922,10000.0,45.49228811264038,45.57291650772095,0.0
100,0.2740617,6.906895,,,,,,,,,,,
200,0.28995615,6.898903,,,,,,,,,,,
300,0.2821063,6.8831663,,,,,,,,,,,
400,0.43677464,6.861698,,,,,,,,,,,
500,0.7186433,6.743629,,,,,,,,,,,
600,0.9492285,6.680684,,,,,,,,,,,
700,1.2310759,6.579445,,,,,,,,,,,
800,0.86921626,6.5399,,,,,,,,,,,
900,0.6331881,6.685089,,,,,,,,,,,
997,,,0.0350195318460464,6.060697555541992,0.033280000090599,6.088078022003174,50000.0,0.0278000012040138,6.1809983253479,10000.0,458.8853347301483,515.7842218875885,0.0
1000,1.1696407,6.4768696,,,,,,,,,,,
1100,1.0949247,6.4810314,,,,,,,,,,,
1200,1.365039,6.471034,,,,,,,,,,,
1300,0.85341465,6.4198136,,,,,,,,,,,
1400,1.2998146,6.3689275,,,,,,,,,,,
1500,0.85075736,6.3599277,,,,,,,,,,,
1600,0.9793968,6.367986,,,,,,,,,,,
1700,0.89858377,6.3046145,,,,,,,,,,,
1800,0.8266335,6.2889953,,,,,,,,,,,
1900,0.8909059,6.2582717,,,,,,,,,,,
2000,0.737583,6.174369,,,,,,,,,,,
2021,,,0.0667187497019767,5.562770366668701,0.063799999654293,5.59748125076294,50000.0,0.0489000007510185,5.785606384277344,10000.0,871.876195192337,957.5363082885742,0.0
2100,0.8106165,6.241678,,,,,,,,,,,
2200,0.74619186,6.1818285,,,,,,,,,,,
2300,0.85987425,6.462579,,,,,,,,,,,
2400,0.9607757,6.216917,,,,,,,,,,,
2500,1.1093305,6.138917,,,,,,,,,,,
2600,0.71464,6.173313,,,,,,,,,,,
2700,0.84278953,6.1868534,,,,,,,,,,,
2800,0.8910175,6.116642,,,,,,,,,,,
2900,0.7337059,6.5560627,,,,,,,,,,,
3000,0.73625904,6.186967,,,,,,,,,,,
3045,,,0.1023242175579071,5.172773838043213,0.09425999969244,5.228543281555176,50000.0,0.0726000070571899,5.468011379241943,10000.0,1284.960041999817,1399.7500438690186,0.0
