global_step,grad_norm,loss,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,validation/num_examples,test/ctc_loss,test/wer,test/num_examples,score,total_duration,preemption_count
0,107.77953,30.895609,,,,,,,,,,,
1,,,30.186682,1.3814318139224957,28.317572,1.4861793167324335,5348.0,28.475523,1.5244652976661994,2472.0,59.74752330780029,59.94705677032471,0.0
100,19.75349,15.413339,,,,,,,,,,,
200,6.9549503,6.2319756,,,,,,,,,,,
300,4.663226,6.0318093,,,,,,,,,,,
400,3.6198347,5.9818044,,,,,,,,,,,
500,3.329193,5.9834447,,,,,,,,,,,
600,1.3760922,5.861165,,,,,,,,,,,
700,2.0007982,5.893649,,,,,,,,,,,
800,1.7496564,5.8972626,,,,,,,,,,,
900,1.1587771,5.8222938,,,,,,,,,,,
1000,1.6704506,5.8777447,,,,,,,,,,,
1100,0.15983799,5.7931356,,,,,,,,,,,
1200,1.1763023,5.84656,,,,,,,,,,,
1300,1.0631807,5.82434,,,,,,,,,,,
1400,1.3278878,5.8498883,,,,,,,,,,,
1500,0.4478171,5.8066382,,,,,,,,,,,
1600,0.5745248,5.817883,,,,,,,,,,,
1700,0.8264503,5.8019195,,,,,,,,,,,
1800,0.58030164,5.7824454,,,,,,,,,,,
1900,0.43623134,5.794244,,,,,,,,,,,
2000,0.7144855,5.808578,,,,,,,,,,,
2100,0.24832611,5.775805,,,,,,,,,,,
2200,0.41315863,5.7909884,,,,,,,,,,,
2300,0.41717535,5.786975,,,,,,,,,,,
2400,0.3162133,5.7767935,,,,,,,,,,,
2500,0.5431392,5.792792,,,,,,,,,,,
2600,0.12108894,5.7940054,,,,,,,,,,,
2700,0.119771205,5.7751217,,,,,,,,,,,
2800,0.12025712,5.773818,,,,,,,,,,,
2900,0.29377833,5.7897186,,,,,,,,,,,
3000,0.40893757,5.78923,,,,,,,,,,,
3030,,,5.9557576,0.944635537887994,5.9979086,0.8959951374349969,5348.0,5.983325,0.899579550301627,2472.0,2454.0496261119843,2583.2569274902344,0.0
3100,0.06740562,5.7621403,,,,,,,,,,,
3200,0.08602035,5.7876954,,,,,,,,,,,
3300,0.4471115,5.8116736,,,,,,,,,,,
3400,0.16463822,5.788621,,,,,,,,,,,
3500,0.33412227,5.7899175,,,,,,,,,,,
3600,0.16305,5.8077235,,,,,,,,,,,
3700,0.07846118,5.7981462,,,,,,,,,,,
3800,0.26243562,5.8135715,,,,,,,,,,,
3900,0.081980325,5.779496,,,,,,,,,,,
4000,0.13722403,5.7835956,,,,,,,,,,,
4100,0.300188,5.792451,,,,,,,,,,,
4200,0.31521416,5.7896314,,,,,,,,,,,
4300,,,,,,,,,,,,,
4400,,,,,,,,,,,,,
4500,,,,,,,,,,,,,
4600,,,,,,,,,,,,,
4700,,,,,,,,,,,,,
4800,,,,,,,,,,,,,
4900,,,,,,,,,,,,,
5000,,,,,,,,,,,,,
5100,,,,,,,,,,,,,
5200,,,,,,,,,,,,,
5300,,,,,,,,,,,,,
5400,,,,,,,,,,,,,
5500,,,,,,,,,,,,,
5600,,,,,,,,,,,,,
5700,,,,,,,,,,,,,
5800,,,,,,,,,,,,,
5900,,,,,,,,,,,,,
6000,,,,,,,,,,,,,
6096,,,,0.9427216791412514,,0.8959951374349969,5348.0,,0.899579550301627,2472.0,4848.925942182541,5066.127388477325,0.0
6100,,,,,,,,,,,,,
6200,,,,,,,,,,,,,
6300,,,,,,,,,,,,,
6400,,,,,,,,,,,,,
6500,,,,,,,,,,,,,
6600,,,,,,,,,,,,,
6700,,,,,,,,,,,,,
6800,,,,,,,,,,,,,
6900,,,,,,,,,,,,,
7000,,,,,,,,,,,,,
7100,,,,,,,,,,,,,
7200,,,,,,,,,,,,,
7300,,,,,,,,,,,,,
7400,,,,,,,,,,,,,
7500,,,,,,,,,,,,,
7600,,,,,,,,,,,,,
7700,,,,,,,,,,,,,
7800,,,,,,,,,,,,,
7900,,,,,,,,,,,,,
8000,,,,,,,,,,,,,
8100,,,,,,,,,,,,,
8200,,,,,,,,,,,,,
8300,,,,,,,,,,,,,
8400,,,,,,,,,,,,,
8500,,,,,,,,,,,,,
8600,,,,,,,,,,,,,
8700,,,,,,,,,,,,,
8800,,,,,,,,,,,,,
8900,,,,,,,,,,,,,
9000,,,,,,,,,,,,,
9100,,,,,,,,,,,,,
9162,,,,0.9433243196230056,,0.8959951374349969,5348.0,,0.899579550301627,2472.0,7243.360862970352,7549.7531752586365,0.0
9200,,,,,,,,,,,,,
9300,,,,,,,,,,,,,
9400,,,,,,,,,,,,,
9500,,,,,,,,,,,,,
9600,,,,,,,,,,,,,
9700,,,,,,,,,,,,,
9800,,,,,,,,,,,,,
9900,,,,,,,,,,,,,
10000,,,,0.9437003215030004,,0.8959951374349969,5348.0,,0.899579550301627,2472.0,7889.169927358627,8279.723220825195,0.0
10000,,,,,,,,,,,7889.169927358627,,0.0
