global_step,grad_norm,loss,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,validation/num_examples,test/ctc_loss,test/wer,test/num_examples,score,total_duration,preemption_count
0,20.346657,33.728413,,,,,,,,,,,
1,,,32.26988,4.878146929596235,31.260836,4.395208829800577,5348.0,31.169798,4.656023398939736,2472.0,54.21021223068237,54.41117835044861,0.0
100,2.966041,6.285971,,,,,,,,,,,
200,0.74046534,6.470839,,,,,,,,,,,
300,15.712963,8.04379,,,,,,,,,,,
400,2.772628,8.666499,,,,,,,,,,,
500,1.3135027,8.413907,,,,,,,,,,,
600,2.230145,8.440773,,,,,,,,,,,
700,2.9881985,8.481891,,,,,,,,,,,
800,1.383957,8.400667,,,,,,,,,,,
900,0.74973917,8.311618,,,,,,,,,,,
1000,1.7458788,6.7217836,,,,,,,,,,,
1100,0.0,1810.0701,,,,,,,,,,,
1200,0.0,1796.4788,,,,,,,,,,,
1300,0.0,1772.8408,,,,,,,,,,,
1400,0.0,1793.9608,,,,,,,,,,,
1500,0.0,1809.1747,,,,,,,,,,,
1600,0.0,1836.0339,,,,,,,,,,,
1700,0.0,1800.1422,,,,,,,,,,,
1800,0.0,1816.7498,,,,,,,,,,,
1900,0.0,1840.7869,,,,,,,,,,,
2000,0.0,1929.8773,,,,,,,,,,,
2049,,,1767.6815,0.944635537887994,3357.9224,0.8959951374349969,5348.0,3189.8608,0.899579550301627,2472.0,2451.703552961349,2642.480489969253,0.0
2100,0.0,1880.2661,,,,,,,,,,,
2200,0.0,1842.7745,,,,,,,,,,,
2300,0.0,1862.7537,,,,,,,,,,,
2400,0.0,1914.2917,,,,,,,,,,,
2500,0.0,1791.9517,,,,,,,,,,,
2600,0.0,1823.9988,,,,,,,,,,,
2700,0.0,1833.5355,,,,,,,,,,,
2800,0.0,1870.5117,,,,,,,,,,,
2900,0.0,1820.1083,,,,,,,,,,,
3000,0.0,1780.1143,,,,,,,,,,,
3100,0.0,1842.3766,,,,,,,,,,,
3200,0.0,1821.2736,,,,,,,,,,,
3300,0.0,1815.9766,,,,,,,,,,,
3400,0.0,1865.8761,,,,,,,,,,,
3500,0.0,1889.2858,,,,,,,,,,,
3600,0.0,1835.7706,,,,,,,,,,,
3700,0.0,1924.0754,,,,,,,,,,,
3800,0.0,1816.8789,,,,,,,,,,,
3900,0.0,1894.7394,,,,,,,,,,,
4000,0.0,1854.9252,,,,,,,,,,,
4100,0.0,1898.5331,,,,,,,,,,,
4120,,,1761.5707,0.9427216791412514,3357.9224,0.8959951374349969,5348.0,3189.8608,0.899579550301627,2472.0,4848.4912877082825,5123.87358212471,0.0
4200,0.0,1813.4039,,,,,,,,,,,
4300,0.0,1795.8486,,,,,,,,,,,
4400,0.0,1811.7354,,,,,,,,,,,
4500,0.0,1747.786,,,,,,,,,,,
4600,0.0,1834.718,,,,,,,,,,,
4700,0.0,1799.889,,,,,,,,,,,
4800,0.0,1802.5504,,,,,,,,,,,
4900,0.0,1822.7,,,,,,,,,,,
5000,0.0,1817.7819,,,,,,,,,,,
5100,0.0,1855.3285,,,,,,,,,,,
5200,0.0,1845.5643,,,,,,,,,,,
5300,0.0,1866.6925,,,,,,,,,,,
5400,0.0,1816.8789,,,,,,,,,,,
5500,0.0,1891.659,,,,,,,,,,,
5600,0.0,1810.0701,,,,,,,,,,,
5700,0.0,1818.8151,,,,,,,,,,,
5800,0.0,1808.2803,,,,,,,,,,,
5900,0.0,1810.4541,,,,,,,,,,,
6000,0.0,1855.4629,,,,,,,,,,,
6100,0.0,1771.6139,,,,,,,,,,,
6188,,,1741.298,0.9433243196230056,3357.9224,0.8959951374349969,5348.0,3189.8608,0.899579550301627,2472.0,7245.557680130005,7604.717453956604,0.0
6200,0.0,1837.3518,,,,,,,,,,,
6300,0.0,1846.2296,,,,,,,,,,,
6400,0.0,1778.0122,,,,,,,,,,,
6500,0.0,1834.718,,,,,,,,,,,
6600,0.0,1835.2443,,,,,,,,,,,
6700,0.0,1816.2343,,,,,,,,,,,
6800,0.0,1828.2976,,,,,,,,,,,
6900,0.0,1857.0782,,,,,,,,,,,
7000,0.0,1821.4032,,,,,,,,,,,
7100,0.0,1760.6481,,,,,,,,,,,
7200,0.0,1856.4049,,,,,,,,,,,
7300,0.0,1844.7664,,,,,,,,,,,
7400,0.0,1792.7047,,,,,,,,,,,
7500,0.0,1832.4855,,,,,,,,,,,
7600,0.0,1846.3628,,,,,,,,,,,
7700,0.0,1837.4836,,,,,,,,,,,
7800,0.0,1759.317,,,,,,,,,,,
7900,0.0,1845.4312,,,,,,,,,,,
8000,,,1724.8613,0.9437003215030004,3357.9224,0.8959951374349969,5348.0,3189.8608,0.899579550301627,2472.0,9340.63907289505,9786.590335607529,0.0
8000,,,,,,,,,,,9340.63907289505,,0.0
