,warmup steps/sec,equilibrium steps/sec,max steps
criteo1tb_adamw,0.006492562195301927,0.16149645237627577,8000
criteo1tb_momentum,0.007099627563673525,0.16112562384727336,8000
criteo1tb_nadamw,0.006411617181935098,0.16155054200876204,8000
criteo1tb_nesterov,0.0061015198069359535,0.16178266974081276,8000
fastmri_adamw,0.020324000592948747,2.596619287822777,27142
fastmri_momentum,0.021770475214145817,2.581550143271565,27142
fastmri_nadamw,0.02036768118888445,2.603761044348217,27142
fastmri_nesterov,0.021828039159807345,2.591251600086336,27142
imagenet_resnet_adamw,0.12427004786272194,2.189796344986596,140000
imagenet_resnet_momentum,0.1254277774519869,2.220915088387058,140000
imagenet_resnet_nadamw,0.1235407621093719,2.1658110487432918,140000
imagenet_resnet_nesterov,0.12752987757684647,2.2185858771368236,140000
imagenet_vit_adamw,0.15466607823574566,2.0003332990024,140000
imagenet_vit_momentum,0.15356543465515618,2.1013208374884473,140000
imagenet_vit_nadamw,0.15186211311278114,1.9850226069764987,140000
imagenet_vit_nesterov,0.1542853947860172,2.0986453473971234,140000
librispeech_conformer_adamw,0.1464332302393357,1.2361654645597713,100000
librispeech_conformer_momentum,0.15141186019092034,1.2978454890392044,100000
librispeech_conformer_nadamw,0.1497602706086921,1.2370844726355716,100000
librispeech_conformer_nesterov,0.15117799273244834,1.2997156842808104,100000
librispeech_deepspeech_adamw,0.11171187775547313,1.2269274550752924,60000
librispeech_deepspeech_momentum,0.11307427505946956,1.2403999940076866,60000
librispeech_deepspeech_nadamw,0.11250395975042776,1.2286738342529278,60000
librispeech_deepspeech_nesterov,0.11208876872570533,1.2648779781615416,60000
ogbg_adamw,0.17963955114096683,2.91765417671833,60000
ogbg_momentum,0.18346873998436736,2.9163774185403613,60000
ogbg_nadamw,0.18366879725713117,2.871955382431505,60000
ogbg_nesterov,0.18217414864298348,2.94953940111616,60000
wmt_adamw,0.25863803215512127,1.342503285157303,100000
wmt_momentum,0.26986542322241774,1.2901290514122896,100000
wmt_nadamw,0.253159098780301,1.3605542304914116,100000
wmt_nesterov,0.2621738222722835,1.2979478614252955,100000
