,max steps,global step,total duration,total eval time,total logging & checkpointing_time,total submission time,submission time till eval 2,num steps till eval 2,submission time since eval 2,num steps since eval 2
fastmri_adamw,27142.0,5428.0,1676.9359061717987,282.9290335178375,4.700815200805664,1389.2380073070526,145.01519441604614,331.0,1244.2228128910065,5097.0
fastmri_momentum,27142.0,5428.0,1686.7521364688873,283.11869502067566,3.4018123149871826,1400.1609807014465,143.04508090019226,328.0,1257.1158998012543,5100.0
fastmri_nadamw,27142.0,5428.0,1673.4666848182678,285.3996160030365,4.501502752304077,1383.497567653656,144.2394528388977,332.0,1239.2581148147583,5096.0
fastmri_nesterov,27142.0,5428.0,1663.186063528061,282.3271179199219,3.0991787910461426,1377.694709777832,144.0798008441925,333.0,1233.6149089336395,5095.0
imagenet_resnet_adamw,140000.0,28000.0,9831.017434835434,395.6093604564667,23.79249620437622,9411.293343305588,557.7915813922882,1519.0,8853.5017619133,26481.0
imagenet_resnet_momentum,,,,,,,,,,
imagenet_resnet_nadamw,140000.0,28000.0,9941.523412704468,388.23052740097046,24.991530895233154,9527.951814174652,558.4132807254791,1506.0,8969.538533449173,26494.0
imagenet_resnet_nesterov,140000.0,28000.0,9957.13237118721,394.5875222682953,15.2455153465271,9546.973285913467,555.9447631835938,1498.0,8991.028522729874,26502.0
imagenet_vit_adamw,140000.0,28000.0,12490.420605182648,774.163138628006,51.422988414764404,11664.211855649948,471.9129114151001,1001.0,11192.298944234848,26999.0
imagenet_vit_momentum,140000.0,28000.0,12209.571457862854,768.2300038337708,34.495277404785156,11406.284784317017,468.1541361808777,1027.0,10938.130648136139,26973.0
imagenet_vit_nadamw,140000.0,28000.0,12507.545429468155,758.8373136520386,50.77108645439148,11697.385766983032,470.41340684890747,992.0,11226.972360134125,27008.0
imagenet_vit_nesterov,140000.0,28000.0,12738.843650341034,763.905818939209,39.409586668014526,11934.98826432228,467.5246934890747,980.0,11467.463570833206,27020.0
librispeech_conformer_adamw,100000.0,20000.0,15935.596105575562,759.2374794483185,11.547072410583496,15164.549176454544,2463.6030707359314,3136.0,12700.946105718613,16864.0
librispeech_conformer_momentum,,,,,,,,,,
librispeech_conformer_nadamw,100000.0,20000.0,16337.462383031845,761.5938663482666,10.852925777435303,15564.779766321182,2465.296181201935,3070.0,13099.483585119247,16930.0
librispeech_conformer_nesterov,100000.0,20000.0,16535.919248104095,667.6348195075989,7.584079742431641,15860.473261833191,2462.728982448578,3037.0,13397.744279384613,16963.0
librispeech_deepspeech_adamw,60000.0,16000.0,19361.485968351364,927.9656536579132,6.513792037963867,18426.790853977203,2457.141233444214,2066.0,15969.64962053299,13934.0
librispeech_deepspeech_momentum,60000.0,16000.0,19316.92738175392,897.3187267780304,4.453773260116577,18414.918209791183,2457.214750289917,2061.0,15957.703459501266,13939.0
librispeech_deepspeech_nadamw,60000.0,16000.0,19420.19229531288,932.8301181793213,6.12778115272522,18481.047250270844,2460.20360660553,2065.0,16020.843643665314,13935.0
librispeech_deepspeech_nesterov,60000.0,16000.0,19159.56995153427,841.7703411579132,3.926475763320923,18313.644594669342,2455.846287727356,2085.0,15857.798306941986,13915.0
ogbg_adamw,60000.0,12000.0,3941.9723846912384,1142.1600670814514,1.685539722442627,2798.0263595581055,259.97359323501587,1025.0,2538.0527663230896,10975.0
ogbg_momentum,60000.0,12000.0,3952.882199525833,1150.6944134235382,1.1452651023864746,2800.936535835266,259.88331842422485,1023.0,2541.0532174110413,10977.0
ogbg_nadamw,60000.0,12000.0,3901.0379631519318,1127.723085641861,1.595766305923462,2771.6236226558685,260.37417006492615,1041.0,2511.2494525909424,10959.0
ogbg_nesterov,60000.0,12000.0,3859.6428830623627,1123.0320718288422,1.1136713027954102,2735.4038186073303,259.6519031524658,1065.0,2475.7519154548645,10935.0
wmt_adamw,100000.0,20000.0,12726.68507552147,5441.676376819611,42.86041855812073,7241.922610998154,873.3912582397461,2330.0,6368.531352758408,17670.0
wmt_momentum,100000.0,20000.0,12769.609462499619,5545.317233800888,29.375240087509155,7194.664098024368,870.1244316101074,2345.0,6324.539666414261,17655.0
wmt_nadamw,100000.0,20000.0,12447.770543336868,5120.15834903717,42.171207904815674,7285.220268726349,874.119500875473,2317.0,6411.100767850876,17683.0
wmt_nesterov,100000.0,20000.0,12810.375185966492,5568.519872665405,27.008020877838135,7214.646990537643,870.2246091365814,2339.0,6344.422381401062,17661.0
