,max steps,global step,total duration,total eval time,total logging & checkpointing_time,total submission time,submission time till eval 2,num steps till eval 2,submission time since eval 2,num steps since eval 2
criteo1tb_adamw,8000.0,1600.0,11002.01418042183,9557.177372455597,232.47073888778687,1212.3457698822021,145.62026000022888,159.0,1066.7255098819733,1441.0
criteo1tb_momentum,8000.0,1600.0,8538.083921909332,7308.626266479492,150.65257692337036,1078.782459974289,145.52710461616516,186.0,933.2553553581238,1414.0
criteo1tb_nadamw,8000.0,1600.0,9705.287140130997,8343.162011384964,242.93981003761292,1119.163925409317,142.78649234771729,174.0,976.3774330615997,1426.0
criteo1tb_nesterov,8000.0,1600.0,8604.695708274841,7367.197616100311,153.45798325538635,1084.0205991268158,145.12522888183594,185.0,938.8953702449799,1415.0
fastmri_adamw,27142.0,5428.0,1679.9114792346954,285.18053793907166,4.423405170440674,1390.2416779994965,143.33351397514343,330.0,1246.908164024353,5098.0
fastmri_momentum,27142.0,5428.0,1684.2806634902954,285.1116626262665,3.3374595642089844,1395.7627260684967,145.0800974369049,329.0,1250.6826286315918,5099.0
fastmri_nadamw,27142.0,5428.0,1696.5874195098877,285.62731170654297,4.796655654907227,1406.0929942131042,145.84805417060852,327.0,1260.2449400424957,5101.0
fastmri_nesterov,27142.0,5428.0,1671.4866020679474,280.1267101764679,3.4515459537506104,1387.8377487659454,145.61724662780762,336.0,1242.2205021381378,5092.0
imagenet_resnet_adamw,140000.0,28000.0,9936.013282299042,391.2795398235321,22.57839846611023,9521.82117509842,558.9548420906067,1504.0,8962.866333007812,26496.0
imagenet_resnet_momentum,140000.0,28000.0,9960.259217977524,393.7713861465454,14.468707084655762,9551.647817850113,556.0927176475525,1505.0,8995.55510020256,26495.0
imagenet_resnet_nadamw,140000.0,28000.0,9870.307851552963,402.4875576496124,22.891883611679077,9444.590440750122,559.7901608943939,1515.0,8884.800279855728,26485.0
imagenet_resnet_nesterov,140000.0,28000.0,9885.575748205185,394.5197002887726,15.181557178497314,9475.542243719101,556.5377888679504,1510.0,8919.00445485115,26490.0
imagenet_vit_adamw,140000.0,28000.0,12452.344131708145,746.9482498168945,55.50487017631531,11649.32623744011,471.8989188671112,995.0,11177.427318572998,27005.0
imagenet_vit_momentum,140000.0,28000.0,12431.710727930069,748.2318212985992,42.37189030647278,11640.580857515335,466.95301580429077,1007.0,11173.627841711044,26993.0
imagenet_vit_nadamw,140000.0,28000.0,12478.949511289597,769.7359969615936,50.194902181625366,11658.425700187683,472.94655442237854,998.0,11185.479145765305,27002.0
imagenet_vit_nesterov,140000.0,28000.0,12586.011485099792,758.9010100364685,35.34624743461609,11791.227755069733,466.8052730560303,987.0,11324.422482013702,27013.0
librispeech_conformer_adamw,100000.0,20000.0,16198.084981918335,784.6029562950134,11.246610164642334,15402.003957509995,2465.595070838928,3112.0,12936.408886671066,16888.0
librispeech_conformer_momentum,100000.0,20000.0,16498.499616861343,693.8345944881439,7.653445243835449,15796.770457267761,2461.201361179352,3057.0,13335.56909608841,16943.0
librispeech_conformer_nadamw,100000.0,20000.0,15893.728668928146,753.1039803028107,11.76012635231018,15128.605032920837,2464.168543577194,3149.0,12664.436489343643,16851.0
librispeech_conformer_nesterov,100000.0,20000.0,16465.812519311905,702.0879828929901,8.3266921043396,15755.123582839966,2462.755706548691,3090.0,13292.367876291275,16910.0
librispeech_deepspeech_adamw,60000.0,16000.0,19456.650873422623,914.8463470935822,6.0958452224731445,18535.515899658203,2458.8603105545044,2061.0,16076.655589103699,13939.0
librispeech_deepspeech_momentum,60000.0,16000.0,19185.886197566986,859.1357712745667,3.874772787094116,18322.687009334564,2455.8511288166046,2073.0,15866.83588051796,13927.0
librispeech_deepspeech_nadamw,60000.0,16000.0,19603.53784751892,944.4878647327423,6.160890579223633,18652.673414945602,2458.924425125122,2052.0,16193.74898982048,13948.0
librispeech_deepspeech_nesterov,60000.0,16000.0,18999.311536073685,829.8967523574829,4.459317922592163,18164.689826488495,2456.912838459015,2102.0,15707.77698802948,13898.0
ogbg_adamw,60000.0,12000.0,3880.6312170028687,1129.566383600235,1.6248369216918945,2749.346127986908,260.2317371368408,1044.0,2489.114390850067,10956.0
ogbg_momentum,60000.0,12000.0,3859.9636952877045,1129.4651820659637,1.0936229228973389,2729.308831214905,258.8908050060272,1045.0,2470.4180262088776,10955.0
ogbg_nadamw,60000.0,12000.0,3937.7973380088806,1136.4787895679474,1.6841177940368652,2799.534986257553,260.6853218078613,1020.0,2538.8496644496918,10980.0
ogbg_nesterov,60000.0,12000.0,4006.6538207530975,1162.7887210845947,1.146127462387085,2842.6037259101868,259.5566499233246,1009.0,2583.047075986862,10991.0
wmt_adamw,100000.0,20000.0,14003.790630340576,6671.480080366135,37.97818922996521,7294.107146024704,873.2738935947418,2311.0,6420.833252429962,17689.0
wmt_momentum,100000.0,20000.0,12837.317479372025,5606.211343050003,29.541651010513306,7201.316343784332,869.5385911464691,2343.0,6331.777752637863,17657.0
wmt_nadamw,100000.0,20000.0,12479.644171476364,5217.375326633453,42.896119356155396,7219.116750717163,874.3044197559357,2336.0,6344.812330961227,17664.0
wmt_nesterov,100000.0,20000.0,12708.181058883667,5486.807333469391,27.56141757965088,7193.568562269211,870.9246771335602,2346.0,6322.643885135651,17654.0
