,target setting steps,baseline steps,global step,total duration (s),total eval time (s),total logging & checkpointing_time (s),total submission time (s),submission time till eval 2 (s),num steps till eval 2,submission time since eval 2 (s),num steps since eval 2,equilibrium step time (s),projected max submission time (s)
fastmri_adafactor,27142.0,36189.333333333336,5428.0,1693.1883924007416,287.29445695877075,0.3198816776275635,1405.500220298767,153.55407667160034,331.0,1251.9461436271667,5097.0,0.24562412078225757,8961.225674388721
fastmri_sam,27142.0,36189.333333333336,5428.0,1697.4925284385681,282.8956518173218,0.35193634033203125,1414.1618666648865,148.23660111427307,333.0,1265.9252655506134,5095.0,0.2484642326890311,9057.252949823069
fastmri_shampoo,,,,,,,,,,,,,
imagenet_resnet_adafactor,140000.0,186666.66666666666,28000.0,10576.870799064636,421.16872930526733,4.094270706176758,10151.249856233597,602.6431815624237,1419.0,9548.606674671173,26581.0,0.35922676628686556,67148.56344041627
imagenet_resnet_sam,140000.0,186666.66666666666,28000.0,18588.746992588043,696.549875497818,0.7108449935913086,17891.129177093506,572.4845790863037,803.0,17318.644598007202,27197.0,0.6367851085784169,118927.69973820231
imagenet_resnet_shampoo,140000.0,186666.66666666666,28000.0,22218.0877430439,866.1194486618042,0.8725626468658447,21350.722284793854,702.7012600898743,685.0,20648.02102470398,27315.0,0.7559224244812001,141290.41363581092
imagenet_vit_adafactor,140000.0,186666.66666666666,28000.0,14812.60220694542,645.2151508331299,0.9958095550537109,14165.870100736618,527.1725649833679,745.0,13638.69753575325,27255.0,0.500410843359136,93564.39058038619
imagenet_vit_sam,140000.0,186666.66666666666,28000.0,23234.863209962845,994.0397081375122,1.5023539066314697,22238.94670701027,489.0834889411926,494.0,21749.863218069077,27506.0,0.7907315937638725,147701.6929175447
imagenet_vit_shampoo,,,,,,,,,,,,,
ogbg_adafactor,60000.0,80000.0,12000.0,4158.247465372086,1236.3799622058868,0.2485947608947754,2921.5102438926697,274.89994978904724,1001.0,2646.6102941036224,10999.0,0.24062281062856827,19283.861366635312
ogbg_sam,60000.0,80000.0,12000.0,4804.5797600746155,1464.8310160636902,0.2878873348236084,3339.3511765003204,267.8613471984863,879.0,3071.489829301834,11121.0,0.27618827707057225,22120.15401729923
ogbg_shampoo,,,,,,,,,,,,,
wmt_adafactor,100000.0,133333.33333333334,20000.0,12823.317252635956,5194.309000968933,0.1838512420654297,7628.586567640305,932.0328078269958,2223.0,6696.553759813309,17777.0,0.3766976295107897,50320.98457886314
wmt_sam,,,,,,,,,,,,,
wmt_shampoo,,,,,,,,,,,,,
