,target setting steps,baseline steps,global step,total duration (s),total eval time (s),total logging & checkpointing_time (s),total submission time (s),submission time till eval 2 (s),num steps till eval 2,submission time since eval 2 (s),num steps since eval 2,equilibrium step time (s),projected max submission time (s)
criteo1tb_adafactor,8000.0,10666.666666666666,1600.0,10548.360373735428,9363.830827236176,0.18427300453186035,1184.322539806366,149.54194498062134,167.0,1034.7805948257446,1433.0,0.7221078819439949,7731.434002765252
criteo1tb_lamb,8000.0,10666.666666666666,1600.0,8587.162712335587,7478.198282241821,0.14317727088928223,1108.800255060196,146.38195204734802,182.0,962.4183030128479,1418.0,0.678715305368722,7262.485690403275
criteo1tb_sam,,,,,,,,,,,,,
criteo1tb_shampoo,,,,,,,,,,,,,
fastmri_adafactor,27142.0,36189.333333333336,5428.0,1725.887350320816,290.4497010707855,0.35250067710876465,1435.0136234760284,153.6789789199829,322.0,1281.3346445560455,5106.0,0.25094685557306023,9154.473496710792
fastmri_lamb,27142.0,36189.333333333336,5428.0,1683.2883462905884,282.5134370326996,0.3207216262817383,1400.3847150802612,146.55475902557373,337.0,1253.8299560546875,5091.0,0.24628362916022148,8976.397526220888
fastmri_sam,27142.0,36189.333333333336,5428.0,1701.9104497432709,286.7364454269409,0.3211367130279541,1414.782300710678,150.6885232925415,328.0,1264.0937774181366,5100.0,0.24786152498394834,9039.333291250241
fastmri_shampoo,27142.0,36189.333333333336,5428.0,1803.151204586029,289.74918484687805,0.3464639186859131,1512.966007232666,165.748441696167,317.0,1347.217565536499,5111.0,0.26359177568704734,9621.400483067158
imagenet_resnet_adafactor,140000.0,186666.66666666666,28000.0,10648.142876386642,419.58842372894287,0.4555954933166504,10227.708572864532,611.6793704032898,1412.0,9616.029202461243,26588.0,0.36166801573872587,67612.3670700757
imagenet_resnet_lamb,140000.0,186666.66666666666,28000.0,10674.554406166077,431.90226221084595,0.39748668670654297,10241.890132665634,576.3000509738922,1405.0,9665.590081691742,26595.0,0.3634363632897816,67907.12644131099
imagenet_resnet_sam,140000.0,186666.66666666666,28000.0,18307.78733229637,696.6943175792694,0.6657488346099854,17610.04269552231,569.7143239974976,815.0,17040.32837152481,27185.0,0.6268283381101641,117066.80567566835
imagenet_resnet_shampoo,140000.0,186666.66666666666,28000.0,21353.211349010468,787.4695565700531,3.148615837097168,20562.22887468338,694.8820705413818,731.0,19867.346804142,27269.0,0.7285689539089075,136161.83622823004
imagenet_vit_adafactor,140000.0,186666.66666666666,28000.0,14929.872590303421,637.1623675823212,1.182924509048462,14290.964758872986,535.4674348831177,696.0,13755.497323989868,27304.0,0.5037905553761305,94225.73287855236
imagenet_vit_lamb,140000.0,186666.66666666666,28000.0,13460.722616434097,600.5933916568756,1.0756964683532715,12858.452586650848,491.0510485172272,870.0,12367.401538133621,27130.0,0.4558570415825146,85187.76985107649
imagenet_vit_sam,140000.0,186666.66666666666,28000.0,22826.12738919258,948.389502286911,1.4476940631866455,21875.88953113556,485.30918073654175,504.0,21390.580350399017,27496.0,0.7779524421879189,145311.01035828536
imagenet_vit_shampoo,140000.0,186666.66666666666,28000.0,30273.163052797318,1221.277441740036,1.947253704071045,29049.47698688507,715.4983599185944,141.0,28333.978626966476,27859.0,1.0170493781889687,190421.31165953475
librispeech_conformer_adafactor,100000.0,133333.33333333334,20000.0,19503.91836452484,1013.8205723762512,0.3958742618560791,18489.389750242233,2511.7295060157776,2597.0,15977.660244226456,17403.0,0.9180980431090304,122540.50130259902
librispeech_conformer_lamb,100000.0,133333.33333333334,20000.0,16218.150212287903,763.5011303424835,0.25862789154052734,15454.073668956757,2481.2242801189423,3091.0,12972.849388837814,16909.0,0.7672156478110955,102405.18042088092
librispeech_conformer_sam,,,,,,,,,,,,,
librispeech_conformer_shampoo,,,,,,,,,,,,,
librispeech_deepspeech_adafactor,60000.0,80000.0,16000.0,19789.444627285004,1132.6399683952332,0.3020823001861572,18656.27862930298,2498.6224043369293,2028.0,16157.65622496605,13972.0,1.1564311641115121,92667.87313243975
librispeech_deepspeech_lamb,60000.0,80000.0,16000.0,19298.65249657631,922.1491272449493,0.30025315284729004,18375.984132766724,2471.8651909828186,2060.0,15904.118941783905,13940.0,1.1408980589514996,91393.4599056627
librispeech_deepspeech_sam,60000.0,80000.0,16000.0,37194.654368162155,1626.0672061443329,0.5138900279998779,35567.833047389984,2476.5528469085693,1060.0,33091.280200481415,14940.0,2.2149451272075913,177324.32118867582
librispeech_deepspeech_shampoo,,,,,,,,,,,,,
ogbg_adafactor,60000.0,80000.0,12000.0,4672.7146208286285,1423.0761346817017,0.2784581184387207,3249.257448196411,276.55537724494934,908.0,2972.702070951462,11092.0,0.26800415352970264,21473.53988821619
ogbg_lamb,60000.0,80000.0,12000.0,4059.8524990081787,1162.1632025241852,0.22313928604125977,2897.361358642578,267.04665422439575,974.0,2630.3147044181824,11026.0,0.2385556597513316,19119.14622173313
ogbg_sam,60000.0,80000.0,12000.0,4218.531329631805,1258.1824400424957,0.2569239139556885,2959.9918093681335,267.01587867736816,984.0,2692.9759306907654,11016.0,0.24446041491383128,19583.300023508662
ogbg_shampoo,,,,,,,,,,,,,
wmt_adafactor,100000.0,133333.33333333334,20000.0,13790.206715583801,5985.032220363617,0.21456432342529297,7804.7125589847565,936.9141063690186,2175.0,6867.798452615738,17825.0,0.3852902357708689,51470.93927968324
wmt_lamb,100000.0,133333.33333333334,20000.0,13218.485068559647,5715.696012973785,0.16834616661071777,7502.3834574222565,893.8813433647156,2253.0,6608.502114057541,17747.0,0.37237291452400634,49704.64710347631
wmt_sam,100000.0,133333.33333333334,20000.0,25037.771250724792,10821.539801359177,0.33527064323425293,14215.644985198975,891.5143201351166,1186.0,13324.130665063858,18814.0,0.7082029693347431,94478.64817646987
wmt_shampoo,,,,,,,,,,,,,
