,target setting steps,baseline steps,global step,total duration (s),total eval time (s),total logging & checkpointing_time (s),total submission time (s),submission time till eval 2 (s),num steps till eval 2,submission time since eval 2 (s),num steps since eval 2,equilibrium step time (s),projected max submission time (s),total data selection time (s)
criteo1tb_adafactor,8000.0,10666.666666666666,1600.0,8580.188415288925,7491.286687374115,0.14941740036010742,1088.7295715808868,148.1647708415985,183.0,940.5648007392883,1417.0,0.6637719130129064,7106.928249564571,
criteo1tb_lamb,8000.0,10666.666666666666,1600.0,8531.954353094101,7450.3960881233215,0.1522371768951416,1081.3836839199066,145.71231698989868,183.0,935.6713669300079,1417.0,0.6603185370007113,7068.271752726356,
criteo1tb_nesterov,,,,,,,,,,,,,,
criteo1tb_sam,8000.0,10666.666666666666,1600.0,10665.83004283905,9455.978553295135,0.18233394622802734,1209.646722793579,146.20587706565857,163.0,1063.4408457279205,1437.0,0.7400423421906197,7919.363958655197,
criteo1tb_shampoo,8000.0,10666.666666666666,1600.0,10596.833673238754,9388.183984279633,0.1835169792175293,1208.4426119327545,154.301353931427,165.0,1054.1412580013275,1435.0,0.7345932111507509,7868.754393032896,
fastmri_adafactor,27142.0,36189.333333333336,5428.0,1693.1883924007416,287.29445695877075,0.3198816776275635,1405.500220298767,153.55407667160034,331.0,1251.9461436271667,5097.0,0.24562412078225757,8961.225674388721,
fastmri_lamb,27142.0,36189.333333333336,5428.0,1689.3612105846405,287.49992513656616,0.3252122402191162,1401.4630432128906,147.67657256126404,331.0,1253.7864706516266,5097.0,0.24598518160714666,8968.295209690865,
fastmri_nesterov,27142.0,36189.333333333336,5428.0,1671.4046785831451,283.7398934364319,0.3195912837982178,1387.2769057750702,145.0042815208435,335.0,1242.2726242542267,5093.0,0.24391765644104196,8890.509241443444,
fastmri_sam,27142.0,36189.333333333336,5428.0,1697.4925284385681,282.8956518173218,0.35193634033203125,1414.1618666648865,148.23660111427307,333.0,1265.9252655506134,5095.0,0.2484642326890311,9057.252949823069,
fastmri_shampoo,27142.0,36189.333333333336,5428.0,1682.8990046977997,241.06427025794983,0.3451361656188965,1441.410840511322,149.9349136352539,314.0,1291.4759268760681,5114.0,0.25253733415644664,9209.795955609163,
imagenet_resnet_adafactor,140000.0,186666.66666666666,28000.0,10576.870799064636,421.16872930526733,4.094270706176758,10151.249856233597,602.6431815624237,1419.0,9548.606674671173,26581.0,0.35922676628686556,67148.56344041627,
imagenet_resnet_lamb,140000.0,186666.66666666666,28000.0,10633.620640039444,423.5308735370636,0.4117753505706787,10209.261482954025,576.4532551765442,1409.0,9632.808227777481,26591.0,0.36225821623020876,67687.56512481382,
imagenet_resnet_nesterov,140000.0,186666.66666666666,28000.0,9878.903502702713,402.23416113853455,0.3751950263977051,9475.915600538254,556.4537870883942,1510.0,8919.46181344986,26490.0,0.33671052523404527,62900.652271006766,
imagenet_resnet_sam,140000.0,186666.66666666666,28000.0,18588.746992588043,696.549875497818,0.7108449935913086,17891.129177093506,572.4845790863037,803.0,17318.644598007202,27197.0,0.6367851085784169,118927.69973820231,
imagenet_resnet_shampoo,140000.0,186666.66666666666,28000.0,22218.0877430439,866.1194486618042,0.8725626468658447,21350.722284793854,702.7012600898743,685.0,20648.02102470398,27315.0,0.7559224244812001,141290.41363581092,
imagenet_vit_adafactor,140000.0,186666.66666666666,28000.0,14812.60220694542,645.2151508331299,0.9958095550537109,14165.870100736618,527.1725649833679,745.0,13638.69753575325,27255.0,0.500410843359136,93564.39058038619,
imagenet_vit_lamb,140000.0,186666.66666666666,28000.0,13459.057135105133,581.4544103145599,1.0188660621643066,12876.054052114487,492.1216480731964,877.0,12383.93240404129,27123.0,0.4565841685669465,85320.74213140333,
imagenet_vit_nesterov,140000.0,186666.66666666666,28000.0,12342.050467252731,718.9649133682251,0.940218448638916,11621.538528680801,467.94335865974426,1005.0,11153.595170021057,26995.0,0.41317263085834627,77178.26262487174,
imagenet_vit_sam,140000.0,186666.66666666666,28000.0,23234.863209962845,994.0397081375122,1.5023539066314697,22238.94670701027,489.0834889411926,494.0,21749.863218069077,27506.0,0.7907315937638725,147701.6929175447,
imagenet_vit_shampoo,140000.0,186666.66666666666,28000.0,31339.262818336487,1296.7457683086395,2.189225912094116,30039.94752430916,715.516547203064,131.0,29324.430977106094,27869.0,1.0522240115219812,196992.82401913017,
