,target setting steps,baseline steps,global step,total duration (s),total eval time (s),total logging & checkpointing_time (s),total submission time (s),submission time till eval 2 (s),num steps till eval 2,submission time since eval 2 (s),num steps since eval 2,equilibrium step time (s),projected max submission time (s)
criteo1tb_adamw,8000.0,10666.666666666666,1600.0,15547.836600780487,13664.305071115494,0.28870177268981934,1882.6208159923553,126.76940274238586,106.0,1755.8514132499695,1494.0,1.1752686835675834,12538.390213671777
criteo1tb_momentum,8000.0,10666.666666666666,1600.0,15879.117801904678,14010.518503427505,0.28510546684265137,1867.6614327430725,126.4824526309967,106.0,1741.1789801120758,1494.0,1.165447777852795,12434.387951941746
criteo1tb_nadamw,8000.0,10666.666666666666,1600.0,16923.00504207611,14958.431445598602,0.38297295570373535,1963.5790011882782,126.80971574783325,102.0,1836.769285440445,1498.0,1.226147720587747,13080.651667850516
criteo1tb_nesterov,8000.0,10666.666666666666,1600.0,15782.152899503708,13897.094574689865,0.32636094093322754,1884.1244649887085,126.36871337890625,105.0,1757.7557516098022,1495.0,1.1757563555918409,12544.315422354732
fastmri_adamw,27142.0,36189.333333333336,5428.0,1839.5077023506165,336.2418518066406,0.390336275100708,1500.2511990070343,124.73424196243286,305.0,1375.5169570446014,5123.0,0.26849833243111487,9759.617902364704
fastmri_momentum,27142.0,36189.333333333336,5428.0,1841.613113641739,343.05981969833374,0.38640689849853516,1495.5205249786377,126.75010347366333,310.0,1368.7704215049744,5118.0,0.2674424426543522,9722.406650950052
fastmri_nadamw,27142.0,36189.333333333336,5428.0,1881.6927647590637,358.9933834075928,0.39499664306640625,1519.7491235733032,130.0499768257141,308.0,1389.699146747589,5120.0,0.2714256145991385,9869.162929462269
fastmri_nesterov,27142.0,36189.333333333336,5428.0,1872.944821357727,354.94694566726685,0.39298295974731445,1515.0046095848083,129.75893545150757,307.0,1385.2456741333008,5121.0,0.2705029631191761,9836.036425748158
imagenet_resnet_adamw,140000.0,186666.66666666666,28000.0,12725.012732982635,2129.434260368347,0.41936230659484863,10582.66570854187,517.4905691146851,1340.0,10065.175139427185,26660.0,0.3775384523416048,70485.43348007649
imagenet_resnet_momentum,140000.0,186666.66666666666,28000.0,12660.640531301498,2117.547532081604,0.41034531593322754,10524.603609085083,517.1224446296692,1353.0,10007.481164455414,26647.0,0.3755575173361134,70113.06302641508
imagenet_resnet_nadamw,140000.0,186666.66666666666,28000.0,13064.828911542892,2259.5195004940033,0.43929290771484375,10792.901026964188,517.6582624912262,1311.0,10275.242764472961,26689.0,0.3849991668654862,71879.43550295466
imagenet_resnet_nesterov,140000.0,186666.66666666666,28000.0,12578.250985145569,2189.545974254608,0.4074442386627197,10373.288924455643,517.5517296791077,1366.0,9855.737194776535,26634.0,0.3700434480279543,69086.84934489106
imagenet_vit_adamw,140000.0,186666.66666666666,28000.0,14095.14215874672,2728.7703478336334,0.5636539459228516,11349.36898970604,426.1962969303131,1042.0,10923.172692775726,26958.0,0.4051922506408386,75639.87275805243
imagenet_vit_momentum,140000.0,186666.66666666666,28000.0,13693.702577114105,2623.824229478836,0.5422286987304688,11052.285992860794,426.1436882019043,1035.0,10626.14230465889,26965.0,0.39407165973146263,73578.32267025286
imagenet_vit_nadamw,140000.0,186666.66666666666,28000.0,14382.633119106293,2704.6545536518097,0.5554265975952148,11661.458224534988,426.43370366096497,1014.0,11235.024520874023,26986.0,0.416327893013934,77718.81724941252
imagenet_vit_nesterov,140000.0,186666.66666666666,28000.0,13650.899271249771,2658.6101763248444,0.564469575881958,10975.947498083115,426.73896384239197,1022.0,10549.208534240723,26978.0,0.39103004426720744,73019.38118848002
librispeech_conformer_adamw,100000.0,133333.33333333334,20000.0,16045.146612644196,232.29568767547607,0.20009183883666992,15805.020161867142,2407.2553544044495,3027.0,13397.764807462692,16973.0,0.7893574976411178,105265.53656119383
librispeech_conformer_momentum,100000.0,133333.33333333334,20000.0,15381.42537522316,205.38524532318115,0.21988797187805176,15157.655990123749,2405.829214334488,3153.0,12751.82677578926,16847.0,0.7569197350144988,100941.89262510028
librispeech_conformer_nadamw,100000.0,133333.33333333334,20000.0,16135.637960672379,226.51337599754333,0.2081596851348877,15901.489935874939,2406.8103227615356,3010.0,13494.679613113403,16990.0,0.7942719018901355,105918.97215009031
librispeech_conformer_nesterov,100000.0,133333.33333333334,20000.0,15254.910471439362,205.8240451812744,0.21541762351989746,15035.009685516357,2405.988163948059,3180.0,12629.021521568298,16820.0,0.7508336219719559,100129.48684233804
librispeech_deepspeech_adamw,60000.0,80000.0,16000.0,15186.430363893509,243.88205814361572,0.2171339988708496,14933.731904029846,2409.196544647217,2565.0,12524.53535938263,13435.0,0.9322318838394216,74596.57246975282
librispeech_deepspeech_momentum,60000.0,80000.0,16000.0,14863.9398291111,220.97477746009827,0.21483373641967773,14635.241894960403,2408.890144586563,2574.0,12226.35175037384,13426.0,0.9106473819733234,72916.6743412531
librispeech_deepspeech_nadamw,60000.0,80000.0,16000.0,15200.036018133163,244.8824167251587,0.22914958000183105,14948.501072883606,2409.115207672119,2560.0,12539.385865211487,13440.0,0.9329900197329976,74659.86233579545
librispeech_deepspeech_nesterov,60000.0,80000.0,16000.0,14772.951843738556,212.0505509376526,0.20940089225769043,14553.072968006134,2408.7812299728394,2585.0,12144.291738033295,13415.0,0.905277058369981,72490.80470368492
ogbg_adamw,60000.0,80000.0,12000.0,4729.650901556015,1155.654138803482,0.3475522994995117,3570.5472073554993,245.30491065979004,806.0,3325.2422966957092,11194.0,0.29705577065353844,23770.339611796113
ogbg_momentum,60000.0,80000.0,12000.0,4596.079164028168,1134.1447713375092,0.3612351417541504,3458.4018244743347,244.9859697818756,848.0,3213.415854692459,11152.0,0.2881470457938001,23052.40093845274
ogbg_nadamw,60000.0,80000.0,12000.0,4676.632670879364,1128.9394226074219,0.34755945205688477,3544.2031922340393,245.31859254837036,813.0,3298.884599685669,11187.0,0.294885545694616,23596.42029946793
ogbg_nesterov,60000.0,80000.0,12000.0,4566.794937610626,1132.4062132835388,0.34114527702331543,3430.804360151291,244.87062168121338,849.0,3185.9337384700775,11151.0,0.2857083435091093,22858.97171877072
wmt_adamw,100000.0,133333.33333333334,20000.0,14701.06825876236,5935.502071380615,0.23418474197387695,8758.510364055634,844.0216586589813,1915.0,7914.488705396652,18085.0,0.4376272438704259,58356.264669370576
wmt_momentum,100000.0,133333.33333333334,20000.0,14560.861699819565,5997.689708948135,0.22771406173706055,8555.94378566742,844.0114667415619,1960.0,7711.9323189258575,18040.0,0.427490705040236,57004.89035689417
wmt_nadamw,100000.0,133333.33333333334,20000.0,14471.625168085098,5571.81253528595,0.23434209823608398,8892.462823867798,844.0420391559601,1886.0,8048.420784711838,18114.0,0.44432045846924134,59248.78145038182
wmt_nesterov,100000.0,133333.33333333334,20000.0,14535.636174440384,6036.889443874359,0.24585652351379395,8491.672174692154,844.0452930927277,1976.0,7647.626881599426,18024.0,0.42430242352415815,56579.28017409675
