,target setting steps,baseline steps,global step,total duration (s),total eval time (s),total logging & checkpointing_time (s),total submission time (s),submission time till eval 2 (s),num steps till eval 2,submission time since eval 2 (s),num steps since eval 2,equilibrium step time (s),projected max submission time (s)
criteo1tb_adamw,8000.0,10666.666666666666,1600.0,16825.074343681335,14871.84805393219,0.3171350955963135,1952.2754850387573,126.3783323764801,106.0,1825.8971526622772,1494.0,1.2221533819693957,13033.13281489461
criteo1tb_momentum,8000.0,10666.666666666666,1600.0,15982.225271701813,14068.812608242035,0.29181337356567383,1912.485206604004,126.63603210449219,109.0,1785.8491744995117,1491.0,1.1977526321257623,12772.109071210914
criteo1tb_nadamw,8000.0,10666.666666666666,1600.0,17819.88662457466,15740.618307352066,0.32465028762817383,2078.292751312256,126.98406910896301,104.0,1951.3086822032928,1496.0,1.304350723397923,13904.405976786757
criteo1tb_nesterov,8000.0,10666.666666666666,1600.0,16757.763016462326,14817.024225234985,0.3050243854522705,1939.7800393104553,125.83706045150757,108.0,1813.9429788589478,1492.0,1.215779476447016,12962.847292430066
fastmri_adamw,27142.0,36189.333333333336,5428.0,1837.5932259559631,333.20353174209595,0.39243578910827637,1501.3593590259552,126.1562705039978,310.0,1375.2030885219574,5118.0,0.2686993138964356,9766.908520232177
fastmri_momentum,27142.0,36189.333333333336,5428.0,1834.8893656730652,332.3578906059265,0.401289701461792,1499.419847726822,124.44338369369507,304.0,1374.9764640331268,5124.0,0.268340449655177,9753.929866386274
fastmri_nadamw,27142.0,36189.333333333336,5428.0,1848.374490737915,339.9091775417328,0.3991847038269043,1505.4162628650665,124.28650259971619,305.0,1381.1297602653503,5123.0,0.26959394110196183,9798.48534974955
fastmri_nesterov,27142.0,36189.333333333336,5428.0,1850.915161371231,344.1135013103485,0.3956015110015869,1503.6578857898712,126.08786129951477,311.0,1377.5700244903564,5117.0,0.2692143882138668,9785.051419766032
imagenet_resnet_adamw,140000.0,186666.66666666666,28000.0,12722.753021240234,2143.367429494858,0.42850208282470703,10566.667551994324,517.7223064899445,1341.0,10048.94524550438,26659.0,0.37694381805410476,70375.08668324561
imagenet_resnet_momentum,140000.0,186666.66666666666,28000.0,12566.313518762589,2131.345008611679,0.41965293884277344,10416.01683473587,517.1433017253876,1366.0,9898.873533010483,26634.0,0.37166304471767225,69386.55326327319
