,target setting steps,baseline steps,global step,total duration (s),total eval time (s),total logging & checkpointing_time (s),total submission time (s),submission time till eval 2 (s),num steps till eval 2,submission time since eval 2 (s),num steps since eval 2,equilibrium step time (s),projected max submission time (s)
criteo1tb_adamw,,,,,,,,,,,,,
criteo1tb_momentum,8000.0,10666.666666666666,1600.0,15751.62437748909,13941.49189543724,0.2730727195739746,1690.7189137935638,126.22943067550659,109.0,1564.4894831180573,1491.0,1.0492887210718023,11204.26998484457
criteo1tb_nadamw,,,,,,,,,,,,,
criteo1tb_nesterov,8000.0,10666.666666666666,1600.0,16869.514095783234,15041.476924657822,0.29267454147338867,1697.5349485874176,125.48231554031372,107.0,1572.0526330471039,1493.0,1.0529488499980602,11244.271188569828
fastmri_adamw,27142.0,36189.333333333336,5428.0,1812.1239655017853,328.729318857193,0.3614084720611572,1375.5796546936035,122.8332188129425,314.0,1252.746435880661,5114.0,0.24496410556915546,8911.002160808252
fastmri_momentum,27142.0,36189.333333333336,5428.0,1841.6614291667938,341.08524346351624,0.3849043846130371,1388.235797405243,122.87337946891785,310.0,1265.362417936325,5118.0,0.24723767446977823,8993.596314328248
fastmri_nadamw,27142.0,36189.333333333336,5428.0,1837.6427149772644,343.1285808086395,0.39130282402038574,1390.6437215805054,123.38214993476868,312.0,1267.2615716457367,5116.0,0.24770554566961234,9010.396580438673
fastmri_nesterov,27142.0,36189.333333333336,5428.0,1809.0533256530762,327.58305525779724,0.3732161521911621,1372.8718917369843,123.48987007141113,313.0,1249.3820216655731,5115.0,0.2442584597586653,8886.587791859874
imagenet_resnet_adamw,140000.0,186666.66666666666,28000.0,12646.01926779747,2113.307656764984,0.4105837345123291,10522.018436193466,517.5543377399445,1348.0,10004.464098453522,26652.0,0.37537385931463013,70081.33744744811
imagenet_resnet_momentum,140000.0,186666.66666666666,28000.0,12508.897476673126,2108.090001821518,0.41587162017822266,7406.900271892548,381.7386131286621,1373.0,7025.1616587638855,26627.0,0.26383601828083847,49268.88183911891
imagenet_resnet_nadamw,140000.0,186666.66666666666,28000.0,12919.18037056923,2174.264847278595,0.4214935302734375,10734.486578702927,517.6791594028473,1318.0,10216.80741930008,26682.0,0.38291010491342775,71489.55655830013
imagenet_resnet_nesterov,140000.0,186666.66666666666,28000.0,12467.854907751083,2098.3371119499207,0.402224063873291,9457.368252515793,476.95400762557983,1377.0,8980.414244890213,26623.0,0.3373178922319127,62978.47381997928
imagenet_vit_adamw,140000.0,186666.66666666666,28000.0,13941.829714775085,2605.967584848404,0.5412273406982422,11321.043981790543,426.40190744400024,1048.0,10894.642074346542,26952.0,0.40422388224794237,75457.89996513072
imagenet_vit_momentum,140000.0,186666.66666666666,28000.0,13563.017558813095,2594.243617296219,0.5387215614318848,10853.024188280106,422.9263837337494,1045.0,10430.097804546356,26955.0,0.3869448267314545,72248.2700296709
imagenet_vit_nadamw,140000.0,186666.66666666666,28000.0,14307.4753844738,2670.591907262802,0.5533249378204346,11622.622314929962,426.31298065185547,1020.0,11196.309334278107,26980.0,0.41498552017339163,77466.99151577476
imagenet_vit_nesterov,140000.0,186666.66666666666,28000.0,13440.754651784897,2512.5374166965485,0.5087921619415283,10913.272879838943,426.71504855155945,1053.0,10486.557831287384,26947.0,0.38915492749795466,72659.18804284775
librispeech_conformer_adamw,100000.0,133333.33333333334,20000.0,15962.802151203156,227.09707951545715,0.22132468223571777,15702.683103084564,2403.651233434677,3042.0,13299.031869649887,16958.0,0.7842335104169057,104582.48095033389
librispeech_conformer_momentum,100000.0,133333.33333333334,20000.0,15211.161646842957,198.86769342422485,0.22081327438354492,7912.4125893116,1304.2159271240234,3187.0,6608.196662187576,16813.0,0.39304090062377783,52457.04799333976
librispeech_conformer_nadamw,100000.0,133333.33333333334,20000.0,16073.511599779129,225.36625170707703,0.23882794380187988,15841.29662656784,2407.221108675003,3021.0,13434.075517892838,16979.0,0.7912171222034771,105512.57047629525
librispeech_conformer_nesterov,100000.0,133333.33333333334,20000.0,15273.26236319542,206.13908863067627,0.2197558879852295,8626.667088508606,1390.1706454753876,3078.0,7236.496443033218,16922.0,0.4276383668025776,57092.3486594674
librispeech_deepspeech_adamw,60000.0,80000.0,16000.0,12980.48778796196,202.11663842201233,0.1887345314025879,7791.365607023239,1495.6763942241669,2994.0,6295.689212799072,13006.0,0.4840603731200271,38771.22948670497
librispeech_deepspeech_momentum,60000.0,80000.0,16000.0,12606.366291761398,180.05848455429077,0.1779930591583252,7579.475438594818,1479.2435030937195,3029.0,6100.231935501099,12971.0,0.470297736142248,37678.53055169869
librispeech_deepspeech_nadamw,60000.0,80000.0,16000.0,12970.263419389725,199.50025391578674,0.17791152000427246,7823.556287288666,1500.8375327587128,3003.0,6322.718754529953,12997.0,0.48647524463568154,38957.97194397228
librispeech_deepspeech_nesterov,60000.0,80000.0,16000.0,12562.524002313614,182.99109649658203,0.18009138107299805,7592.94774222374,1495.787101984024,3080.0,6097.160640239716,12920.0,0.4719164582228882,37795.601068488584
ogbg_adamw,60000.0,80000.0,12000.0,4584.165168046951,1113.8486506938934,0.35487818717956543,3467.33412194252,245.40438747406006,840.0,3221.92973446846,11160.0,0.2887033812247724,23099.164045227044
ogbg_momentum,60000.0,80000.0,12000.0,4562.611914157867,1122.825663805008,0.34885191917419434,3436.704211473465,244.87157011032104,834.0,3191.832641363144,11166.0,0.2858528247683274,22874.69629571973
ogbg_nadamw,60000.0,80000.0,12000.0,4613.817164182663,1107.850433588028,0.33945369720458984,3503.055294275284,245.26896262168884,825.0,3257.786331653595,11175.0,0.2915245039511047,23326.721562950403
ogbg_nesterov,60000.0,80000.0,12000.0,4554.686229228973,1115.4606127738953,0.33570289611816406,3436.107076406479,244.90307354927063,840.0,3191.2040028572083,11160.0,0.2859501794674918,22880.71928019592
wmt_adamw,100000.0,133333.33333333334,20000.0,14457.979335546494,5740.043312072754,0.22723674774169922,8711.610471725464,844.2728912830353,1926.0,7867.337580442429,18074.0,0.43528480582286316,58043.88846498329
wmt_momentum,100000.0,133333.33333333334,20000.0,14451.873051404953,5957.976417541504,0.2317976951599121,8474.593283891678,842.6246404647827,1977.0,7631.968643426895,18023.0,0.42345717380163655,56466.40631474383
wmt_nadamw,100000.0,133333.33333333334,20000.0,14908.752172708511,6056.991374969482,0.22640037536621094,8845.48792552948,844.0989203453064,1895.0,8001.389005184174,18105.0,0.4419436070248094,58932.430055007884
wmt_nesterov,100000.0,133333.33333333334,20000.0,14294.840042591095,5808.513247966766,0.21970057487487793,8468.370337963104,842.8549325466156,1979.0,7625.515405416489,18021.0,0.42314607432531426,56424.92542816539
