,target setting steps,baseline steps,global step,total duration (s),total eval time (s),total logging & checkpointing_time (s),total submission time (s),submission time till eval 2 (s),num steps till eval 2,submission time since eval 2 (s),num steps since eval 2,equilibrium step time (s),projected max submission time (s)
criteo1tb_adamw,,,,,,,,,,,,,
criteo1tb_momentum,8000.0,10666.666666666666,1600.0,16606.06558728218,14718.054141044617,0.29610323905944824,1768.3618187904358,125.45941948890686,108.0,1642.902399301529,1492.0,1.1011410182986119,11752.04038469785
criteo1tb_nadamw,,,,,,,,,,,,,
criteo1tb_nesterov,8000.0,10666.666666666666,1600.0,16768.087666988373,14921.00189614296,0.3239173889160156,1716.1986644268036,125.81102895736694,106.0,1590.3876354694366,1494.0,1.06451648960471,11367.81483684284
fastmri_adamw,27142.0,36189.333333333336,5428.0,1859.5584590435028,346.31780552864075,0.3931162357330322,1406.8880896568298,124.3462393283844,307.0,1282.5418503284454,5121.0,0.25044753960719496,9110.988338026957
fastmri_momentum,27142.0,36189.333333333336,5428.0,1850.902334690094,335.9731328487396,0.38979101181030273,1406.6222841739655,123.53611397743225,303.0,1283.0861701965332,5125.0,0.2503582771115187,9107.97669916043
fastmri_nadamw,27142.0,36189.333333333336,5428.0,1860.340681552887,343.51406478881836,0.3925023078918457,1415.4245865345001,124.25231504440308,303.0,1291.172271490097,5125.0,0.2519360529736775,9165.313490742119
fastmri_nesterov,27142.0,36189.333333333336,5428.0,1862.171713590622,346.31342101097107,0.39839935302734375,1409.0507740974426,124.11314010620117,307.0,1284.9376339912415,5121.0,0.2509153747297874,9127.542254618676
imagenet_resnet_adamw,140000.0,186666.66666666666,28000.0,12747.339310407639,2154.950782060623,0.4273521900177002,10580.745297431946,517.7966470718384,1340.0,10062.948650360107,26660.0,0.37745493812303477,70470.2621462868
imagenet_resnet_momentum,140000.0,186666.66666666666,28000.0,12540.01970911026,2154.191483736038,0.4246358871459961,7400.622291564941,382.2826638221741,1374.0,7018.339627742767,26626.0,0.26358971034863543,49223.52300021509
imagenet_resnet_nadamw,140000.0,186666.66666666666,28000.0,13055.008217096329,2247.5345113277435,0.4489405155181885,10796.200160264969,517.8845751285553,1311.0,10278.315585136414,26689.0,0.3851143012153477,71901.00261976679
imagenet_resnet_nesterov,140000.0,186666.66666666666,28000.0,12538.08491563797,2140.2303564548492,0.4158487319946289,9483.766003847122,477.0172257423401,1370.0,9006.748778104782,26630.0,0.3382181291064507,63147.709155403965
imagenet_vit_adamw,140000.0,186666.66666666666,28000.0,14102.548983812332,2727.3095433712006,0.600548505783081,11360.03639626503,426.6927876472473,1043.0,10933.343608617783,26957.0,0.4055845831738614,75712.79025985104
imagenet_vit_momentum,140000.0,186666.66666666666,28000.0,13475.06390428543,2548.073308467865,0.5225205421447754,10812.827933073044,422.90616512298584,1050.0,10389.921767950058,26950.0,0.3855258540983324,71982.93011667511
imagenet_vit_nadamw,140000.0,186666.66666666666,28000.0,14391.562633275986,2716.779245376587,0.5673625469207764,11660.060758829117,426.50470876693726,1018.0,11233.55605006218,26982.0,0.4163351882759684,77718.57729861609
imagenet_vit_nesterov,140000.0,186666.66666666666,28000.0,13702.285175561905,2642.717852830887,0.5644726753234863,11044.543913602829,426.5390110015869,1039.0,10618.004902601242,26961.0,0.3938283039427782,73531.9681391903
